Year,GDP in billion international dollars
2021*,3155.97
2020*,2975.56
2019,3162.41
2018,3065.04
2017,2952.56
2016,2844.17
2015,2762.03
2014,2670.67
2013,2555.51
2012,2458.84
2011,2377.4
2010,2293.43
2009,2223.66
2008,2304.74
2007,2267.14
2006,2155.44
2005,2035.37
2004,1913.06
2003,1819.71
2002,1729.69
2001,1664.07
2000,1581.32
1999,1495.35
1998,1425.2
1997,1359.78
1996,1287.11
1995,1233.24
1994,1178.09
1993,1110.74
1992,1058.68
1991,1030.95
1990,1008.35
1989,964.89
1988,905.16
1987,826.92
1986,765.67
1985,727.64
1984,677.24
