Year,GDP per capita in U.S. dollars
2025*,19527.72
2024*,18685.89
2023*,17945.27
2022*,17143.65
2021*,16297.36
2020*,15331.72
2019*,16110.74
2018*,17064.6
2017*,17041.72
2016*,15139.12
2015,15365.96
2014,16572.36
2013,16723.45
2012,14961.68
2011,14054.33
2010,11859.9
2009,9372.49
2008,9029.33
2007,6984.82
2006,5842.81
2005,5189.89
2004,4102.58
2003,3614.63
2002,4073.42
2001,6238.21
2000,6817.36
1999,7193.47
1998,7667.11
1997,7295.99
1996,6974.81
1995,6601.54
1994,6015.24
1993,5213.03
1992,4501.82
1991,3940.85
1990,3289.12
1989,2842.58
1988,2712.19
1987,2637.02
1986,2119.54
1985,1716.87
