type of expenditure,Average expenditure in Canadian dollars
Shelter,20806
Income taxes,15417
Transportation,13104
Food expenditures,8713
Personal insurance payments and pension contributions,5075
Household operations,4924
Recreation,3950
Clothing and accessories,3721
"Gifts of money, support payments and charitable contributions",2966
Household furnishings and equipment,2553
Education,2232
Health care,2174
Miscellaneous expenditures,1773
Personal care,1362
Tobacco products and alcoholic beverages,1223
Reading materials and other printed matter,163
Games of chance,158
