time,Year over year foot traffic growth (2020 vs. 2019)
Week 37,-7.14%
Week 36,-12.71%
Week 35,-14.29%
Week 34,-10.29%
Week 33,-12.57%
Week 32,-12.29%
Week 31,-14.71%
Week 30,-14.71%
Week 29,-13.14%
Week 28,-10%
Week 27,-13.57%
Week 26,-11.43%
Week 25,-4.57%
Week 24,-10.57%
Week 23,-11.57%
Week 22,-10.29%
Week 21,-9%
Week 20,-11.29%
Week 19,-5.86%
Week 18,-8%
Week 17,-12.86%
Week 16,-23.43%
Week 15,-22.57%
Week 14,-21.14%
Week 13,-17.43%
Week 12,-6.14%
Week 11,16.86%
Week 10,7.57%
Week 9,5.14%
Week 8,3.14%
Week 7,7.14%
Week 6,4.43%
Week 5,4.5%
