Month,Number of cases
"January 5, 2021",779548
"January 4, 2021",772103
"January 3, 2021",765350
"January 2, 2021",758473
"January 1, 2021",751270
"December 31, 2020",743198
"December 30, 2020",735124
"December 29, 2020",727122
"December 28, 2020",719219
"December 27, 2020",713365
"December 26, 2020",706837
"December 25, 2020",700097
"December 24, 2020",692838
"December 23, 2020",685639
"December 22, 2020",678125
"December 21, 2020",671778
"December 20, 2020",664930
"December 19, 2020",657948
"December 18, 2020",650197
"December 17, 2020",643508
"December 16, 2020",636154
"December 15, 2020",629429
"December 14, 2020",623309
"December 13, 2020",617820
"December 12, 2020",611631
"December 11, 2020",605243
"December 10, 2020",598933
"December 9, 2020",592900
"December 8, 2020",586842
"December 7, 2020",581550
"December 6, 2020",575796
"December 5, 2020",569707
"December 4, 2020",563680
"December 3, 2020",557877
"December 2, 2020",549508
"December 1, 2020",543975
"November 30, 2020",538883
"November 29, 2020",534266
"November 28, 2020",527999
"November 27, 2020",522581
"November 26, 2020",516753
"November 25, 2020",511836
"November 24, 2020",506302
"November 23, 2020",502110
"November 22, 2020",497668
"November 21, 2020",493308
"November 20, 2020",488310
"November 19, 2020",483518
"November 18, 2020",478720
"November 17, 2020",474455
"November 16, 2020",470648
"November 15, 2020",467113
"November 14, 2020",463007
"November 13, 2020",457735
"November 12, 2020",452291
"November 11, 2020",448118
"November 10, 2020",444348
"November 9, 2020",440569
"November 8, 2020",437716
"November 7, 2020",433836
"November 6, 2020",429574
"November 5, 2020",425796
"November 4, 2020",421731
"November 3, 2020",418375
"November 2, 2020",415402
"November 1, 2020",412784
"October 31, 2020",410088
"October 30, 2020",406945
"October 29, 2020",404048
"October 28, 2020",400483
"October 27, 2020",396454
"October 26, 2020",392934
"October 25, 2020",389712
"October 24, 2020",385980
"October 23, 2020",381910
"October 22, 2020",377541
"October 21, 2020",373109
"October 20, 2020",368842
"October 19, 2020",365240
"October 18, 2020",361867
"October 17, 2020",357762
"October 16, 2020",353461
"October 15, 2020",349160
"October 14, 2020",344749
"October 13, 2020",340622
"October 12, 2020",336716
"October 11, 2020",333449
"October 10, 2020",328952
"October 9, 2020",324658
"October 8, 2020",320564
"October 7, 2020",315714
"October 6, 2020",311176
"October 5, 2020",307120
"October 4, 2020",303498
"October 3, 2020",299506
"October 2, 2020",295499
"October 1, 2020",291182
"September 30, 2020",287008
"September 29, 2020",282724
"September 28, 2020",278722
"September 27, 2020",275213
