Year,GDP per capita in U.S. dollars
2025*,30678.49
2024*,29857.06
2023*,28983.01
2022*,27914.26
2021*,26273.52
2020*,23116.71
2019,29314.11
2018,30668.37
2017,28236.77
2016,27318.05
2015,31355.74
2014,41947.16
2013,44860.43
2012,47772.21
2011,47092.3
2010,35437.22
2009,31287.18
2008,42678.82
2007,36692.72
2006,34941.38
2005,29514.11
2004,24294.89
2003,20821.91
2002,18845.72
2001,18680.43
2000,20511.08
1999,16112.08
1998,14526.11
1997,19120.87
1996,19282.33
1995,18292.06
1994,16140.9
1993,16664.55
1992,17386.22
1991,15773.38
1990,15422.57
1989,13457.08
1988,12241.23
1987,13281.59
1986,11946.92
1985,19979.82
