Ranking of the companies rank 1 to 100,Market capitalization in billion U.S. dollars
Saudi Arabian Oil Company (Saudi Aramco) (Saudi Arabia),1684.8
Microsoft (United States),1359.0
Apple (United States),1285.5
Amazon (United States),1233.4
Alphabet (United States),919.3
Facebook (United States),583.7
Alibaba (China),545.4
Tencent Holdings (China),509.7
Berkshire Hathaway (United States),455.4
Johnson & Johnson (United States),395.3
Visa (United States),383.9
Walmart (United States),344.4
Nestlé (Switzerland),304.1
Roche Holding (Switzerland),297.4
Procter & Gamble (United States),291.8
JPMorgan Chase (United States),291.7
Samsung Electronics (South Korea),278.7
UnitedHealth Group (United States),277.1
Mastercard (United States),276.1
Taiwan Semiconductor (Taiwan),265.5
Intel (United States),254.0
ICBC (China),242.3
Verizon Communications (United States),237.7
Home Depot (United States),236.1
Kweichow Moutai (China),225.5
AT&T (United States),218.6
Pfizer (United States),212.8
Bank of America (United States),208.6
China Construction Bank (China),203.8
Merck & Co. (United States),200.3
Coca-Cola (United States),197.1
ExxonMobil (United States),196.6
Walt Disney (United States),195.3
LVMH Moet Hennessy Louis Vuitton (France),194.3
Novartis (Switzerland),193.0
Ping An Insurance Group (China),187.2
Netflix (United States),184.7
PepsiCo (United States),183.6
Cisco Systems (United States),179.7
NVIDIA (United States),179.0
Toyota Motor (Japan),173.3
Chevron (United States),171.8
Comcast (United States),171.7
Raiffeisen Bank International (Austria),170.8
Adobe (United States),170.4
Oracle (United States),167.0
China Mobile (Hong Kong),164.9
Abbott Laboratories (United States),162.9
L'Oréal (France),162.5
Eli Lilly (United States),148.0
Agricultural Bank of China (China),147.2
Novo Nordisk (Denmark),146.8
Salesforce.com (United States),144.9
PayPal (United States),144.3
Tesla (United States),144.2
SAP (Germany),142.4
Amgen (United States),140.6
McDonald's (United States),139.5
AstraZeneca (United Kingdom),137.7
Bristol-Myers Squibb (United States),137.6
Nike (United States),135.6
Costco Wholesale (United States),133.8
Thermo Fisher Scientific (United States),132.2
Medtronic (Ireland),130.8
Unilever (Netherlands),130.6
Royal Dutch Shell (Netherlands),126.5
ASML Holding (Netherlands),124.5
Reliance Industries (India),123.8
Sanofi (France),122.5
AbbVie (United States),121.4
China Merchants Bank (China),120.9
Wells Fargo (United States),118.8
Accenture (Ireland),118.0
Philip Morris International (United States),116.2
Danaher (United States),113.9
NextEra Energy (United States),113.1
Bank of China (China),112.8
AIA Group (Hong Kong),111.8
IBM (United States),111.5
Lockheed Martin (United States),109.1
Broadcom (United States),108.6
Union Pacific (United States),108.4
BHP Group (Australia),107.1
Texas Instruments (United States),106.5
Gilead Sciences (United States),105.8
American Tower (United States),105.5
HSBC Holdings (United Kingdom),105.3
GlaxoSmithKline (United Kingdom),104.4
Charter Communications (United States),104.0
Citigroup (United States),101.1
Tata Consultancy Services (India),100.7
Honeywell International (United States),100.4
Linde (United Kingdom),96.6
Total (France),93.1
Postal Savings Bank Of China (PSBC) (China),92.0
CSL (Australia),92.0
Anheuser-Busch InBev (Belgium),89.9
Softbank (Japan),89.7
Starbucks (United States),89.6
British American Tobacco (United Kingdom),88.8
