Month,Number of active cases
"Jan 5, 2021",569161
"Jan 4, 2021",570458
"Jan 3, 2021",576214
"Jan 2, 2021",577062
"Jan 1, 2021",574767
"Dec 31, 2020",569896
"Dec 30, 2020",564395
"Dec 29, 2020",568728
"Dec 28, 2020",575221
"Dec 27, 2020",581760
"Dec 26, 2020",580943
"Dec 25, 2020",579886
"Dec 24, 2020",593692
"Dec 23, 2020",598816
"Dec 22, 2020",605955
"Dec 21, 2020",613582
"Dec 20, 2020",622760
"Dec 19, 2020",620166
"Dec 18, 2020",627798
"Dec 17, 2020",635343
"Dec 16, 2020",645706
"Dec 15, 2020",663313
"Dec 14, 2020",675109
"Dec 13, 2020",686031
"Dec 12, 2020",684848
"Dec 11, 2020",690323
"Dec 10, 2020",696527
"Dec 9, 2020",710515
"Dec 8, 2020",737525
"Dec 7, 2020",748819
"Dec 6, 2020",755306
"Dec 5, 2020",754169
"Dec 4, 2020",757702
"Dec 3, 2020",759982
"Dec 2, 2020",761230
"Dec 1, 2020",779945
"Nov 30, 2020",788471
"Nov 29, 2020",795771
"Nov 28, 2020",789308
"Nov 27, 2020",787893
"Nov 26, 2020",795845
"Nov 25, 2020",791697
"Nov 24, 2020",798386
"Nov 23, 2020",796849
"Nov 22, 2020",805947
"Nov 21, 2020",791746
"Nov 20, 2020",777176
"Nov 19, 2020",761671
"Nov 18, 2020",743168
"Nov 17, 2020",733810
"Nov 16, 2020",717784
"Nov 15, 2020",712490
"Nov 14, 2020",688435
"Nov 13, 2020",663926
"Nov 12, 2020",635054
"Nov 11, 2020",613358
"Nov 10, 2020",590110
"Nov 9, 2020",573334
"Nov 8, 2020",558636
"Nov 7, 2020",532536
"Nov 6, 2020",499118
"Nov 5, 2020",472348
"Nov 4, 2020",443235
"Nov 3, 2020",418142
"Nov 2, 2020",396512
"Nov 1, 2020",378129
"Oct 31, 2020",351386
"Oct 30, 2020",325786
"Oct 29, 2020",299191
"Oct 28, 2020",276457
"Oct 27, 2020",255090
"Oct 26, 2020",236684
"Oct 25, 2020",222241
"Oct 24, 2020",203182
"Oct 23, 2020",186002
"Oct 22, 2020",169302
"Oct 21, 2020",155442
"Oct 20, 2020",142739
"Oct 19, 2020",134003
"Oct 18, 2020",126237
"Oct 17, 2020",116935
"Oct 16, 2020",107312
"Oct 15, 2020",99266
"Oct 14, 2020",92445
"Oct 13, 2020",87193
"Oct 12, 2020",82764
"Oct 11, 2020",79075
"Oct 10, 2020",74829
"Oct 9, 2020",70110
"Oct 8, 2020",65952
"Oct 7, 2020",62576
"Oct 6, 2020",60134
"Oct 5, 2020",58903
"Oct 4, 2020",57429
"Oct 3, 2020",55566
"Oct 2, 2020",53997
"Oct 1, 2020",52647
"Sep 30, 2020",51263
"Sep 29, 2020",50630
"Sep 28, 2020",50323
"Sep 27, 2020",49618
"Sep 26, 2020",48593
"Sep 25, 2020",47718
"Sep 24, 2020",46780
"Sep 23, 2020",46114
"Sep 22, 2020",45489
"Sep 21, 2020",45079
"Sep 20, 2020",44098
"Sep 19, 2020",43161
"Sep 18, 2020",42457
"Sep 17, 2020",41413
"Sep 16, 2020",40532
"Sep 15, 2020",39712
"Sep 14, 2020",39187
"Sep 13, 2020",38509
"Sep 12, 2020",37503
"Sep 11, 2020",36767
"Sep 10, 2020",35708
"Sep 9, 2020",34734
"Sep 8, 2020",33789
"Sep 7, 2020",32993
"Sep 6, 2020",32078
"Sep 5, 2020",31194
"Sep 4, 2020",30099
"Sep 3, 2020",28915
"Sep 2, 2020",27817
"Sep 1, 2020",26754
"Aug 31 , 2020",26078
"Aug 30 , 2020",25205
"Aug 29 , 2020",24156
"Aug 28 , 2020",23035
"Aug 27 , 2020",21932
"Aug 26 , 2020",20753
"Aug 25 , 2020",19714
"Aug 24 , 2020",19195
"Aug 23 , 2020",18438
"Aug 22 , 2020",17503
"Aug 21, 2020",16678
"Aug 20 , 2020",16014
"Aug 19 , 2020",15360
"Aug 18 , 2020",15089
"Aug 17, 2020",14867
"Aug 16, 2020",14733
"Aug 15, 2020",14406
"Aug 14, 2020",14249
"Aug 13, 2020",14081
"Aug 12, 2020",13791
"Aug 11, 2020",13561
"Aug 10, 2020",13368
"Aug 9, 2020",13263
"Aug 8, 2020",12953
"Aug 7, 2020",12924
"Aug 6, 2020",12694
"Aug 5, 2020",12646
"Aug 4, 2020",12482
"Aug 3, 2020",12474
"Aug 2 , 2020",12456
"Aug 1 , 2020",12457
"Jul 31 , 2020",12422
"Jul 30 , 2020",12230
"Jul 29 , 2020",12616
"Jul 28 , 2020",12609
"Jul 27 , 2020",12581
"Jul 26 , 2020",12565
"Jul 25 , 2020",12442
