Month,Units sold
Dec '20,963
Nov '20,824
Oct '20,1053
Sep '20,2815
Aug '20,1259
Jul '20,2480
Jun '20,2469
May '20,775
Apr '20,166
Mar '20,3234
Feb '20,601
Jan '20,1074
Dec '19,969
Nov '19,939
Oct '19,1125
Sep '19,2664
Aug '19,985
Jul '19,1787
Jun '19,2509
May '19,2248
Apr '19,1956
Mar '19,4395
Feb '19,560
Jan '19,931
Dec '18,845
Nov '18,987
Oct '18,1150
Sep '18,2249
Aug '18,1151
Jul '18,1719
Jun '18,2842
May '18,2418
Apr '18,2131
Mar '18,4125
Feb '18,556
Jan '18,957
Dec '17,987
Nov '17,902
Oct '17,1211
Sep '17,2502
Aug '17,1105
Jul '17,1867
Jun '17,3007
May '17,2403
Apr '17,2142
Mar '17,3962
Feb '17,514
Jan '17,759
