State,Percentage change from 2000 to 2018
North Dakota,310.4%
Tennessee,233.5%
South Dakota,226.9%
South Carolina,215.3%
Alabama,203.9%
Kentucky,195.2%
Maryland,178.4%
Arkansas,171.9%
North Carolina,171.3%
Oklahoma,152.2%
New Hampshire,151.6%
Pennsylvania,149.6%
Virginia,148.3%
Delaware,147%
Iowa,146.2%
Mississippi,141.7%
Georgia,140%
Nebraska,136.4%
Vermont,135.9%
Utah,129.6%
Idaho,128.9%
Nevada,128.9%
Indiana,126.1%
Louisiana,124.1%
Missouri,123.6%
Washington,123%
Minnesota,120.1%
Montana,117.2%
Wisconsin,116%
Maine,115.2%
Ohio,114.1%
Florida,111.8%
West Virginia,107.5%
Oregon,107.5%
Alaska,104.1%
Massachusetts,99.2%
Wyoming,97%
Rhode Island,92.1%
Kansas,90.4%
Connecticut,88.1%
District of Columbia,80.3%
Arizona,78.8%
Texas,73.2%
Hawaii,71.7%
Colorado,70.8%
New Jersey,66.1%
Michigan,58.9%
Illinois,45.1%
California,42.5%
New Mexico,36%
New York,31.3%
