Industry,Real value added in billion chained (2012) U.S. dollars
"Finance, insurance, real estate, rental, and leasing",107.53
Professional and business services,74.02
Government and government enterprises,60.17
Manufacturing,55.26
Information,52.3
"Educational services, health care, and social assistance",42.52
Wholesale trade,40.69
Retail trade,32.25
Transportation and warehousing,21.25
Construction,20.11
"Arts, entertainment, recreation, accommodation, and food services",16.93
Utilities,9.64
"Agriculture, forestry, fishing, and hunting",4.92
"Mining, quarrying, and oil and gas extraction",1.46
