Response,Percentage of respondents
Pet owners believe owning a pet provides invaluable companionship,95%
Believe that anyone breeding puppies should be licensed and regulated to meet certain standards,92%
Pet owners that believe the UK is a nation of animal lovers,87%
Pet owners believe owning a pet will improve their life,85%
Pet owners believe owning a pet makes them physically or mentally healthier,75%
Pet owners have bought their pet a birthday or Christmas present,73%
"Believe that their pet will cost them between 1,000 and 5,000 GBP over its life time",45%
Believe people should pass a test before owning a pet,42%
Believe veterinary fees are more than they expected them to be,34%
Pet owners who have taken their pet to work,17%
Pet owners who have Skyped or Facetimed with their pet,12%
