Country,Number of death sentences
China**,1000
Pakistan *,632
Egypt*,435
Bangladesh*,220
India,102
Zambia,101
Iraq*,87
Indonesia*,80
Viet Nam*,76
Yemen,55
Nigeria*,54
Tunisia*,39
United States,35
Sri Lanka*,34
Sudan*,31
Kenya*,29
Malaysia*,26
Somalia*,24
Lebanon,23
Sierra Leone,21
United Arab Emirates*,18
Thailand*,16
Afghanistan,14
Singapore,12
Trinidad and Tobago,8
Mauritania,8
Niger,8
Jordan*,8
Ghana,8
Malawi,8
DR Congo,8
Morocco/Western Sahara*,7
Oman*,7
Zimbabwe,6
Saudi Arabia*,5
Kuwait*,5
Mali*,4
Tanzania*,4
Palestine (State of),4
Myanmar,4
South Sudan*,4
Botswana,4
Bahrain*,4
Algeria*,4
Belarus*,3
Japan,2
Qatar*,2
Guyana,2
Maldives,2
Uganda,2
Taiwan,2
South Korea,1
Gambia,1
