Country,Volume in thousand tonnes
Spain *,6330.53
Turkey *,4770.0
Italy **,2768.23
Greece *,1243.77
Portugal *,374.41
Cyprus *,80.57
France *,78.86
Albania **,40.0
Croatia *,19.09
Montenegro***,3.31
Bosnia and Herzegovina *,0.01
Slovakia,0.0
Poland,0.0
Belgium,0.0
Lithuania,0.0
Luxembourg,0.0
Hungary,0.0
Slovenia,0.0
Latvia *,0.0
Germany,0.0
Switzerland,0.0
Finland,0.0
Romania,0.0
Iceland,0.0
North Macedonia,0.0
United Kingdom,0.0
Sweden,0.0
Ireland,0.0
Netherlands,0.0
Estonia,0.0
Bulgaria,0.0
Czechia,0.0
Denmark *,0.0
Austria,0.0
Malta,0.0
Serbia,0.0
