State,Number of signups
Alabama,160429
Alaska,17696
Arizona,153020
Arkansas,64360
California,1538819
Colorado,167000
Connecticut,107833
Delaware,23961
District of Columbia,17300
Florida,1913975
Georgia,463910
Hawaii,20073
Idaho,78431
Illinois,292945
Indiana,140931
Iowa,54586
Kansas,85837
Kentucky,83139
Louisiana,87748
Maine,62031
Maryland,158934
Massachusetts,319612
Michigan,262919
Minnesota,117520
Mississippi,98892
Missouri,202750
Montana,43822
Nebraska,90845
Nevada,77410
New Hampshire,44412
New Jersey,246426
New Mexico,42714
New York,272948
North Carolina,505275
North Dakota,21666
Ohio,196806
Oklahoma,158642
Oregon,145264
Pennsylvania,331825
Rhode Island,34700
South Carolina,214030
South Dakota,29331
Tennessee,200445
Texas,1116293
Utah,200261
Vermont,24800
Virginia,269474
Washington,212590
West Virginia,20066
Wisconsin,195498
Wyoming,24574
