sports team,Pay per player in million U.S. dollars
FC Barcelona (La Liga),12.28
Real Madrid (La Liga),11.15
Oklahoma City Thunder (NBA),9.43
Golden State Warriors (NBA),9.92
Washington Wizards (NBA),8.5
Toronto Raptors (NBA),8.15
Houston Rockets (NBA),9.16
Miami Heat (NBA),9.3
Juventus Turin (Serie A),10.11
Manchester United (EPL),7.66
Charlotte Hornets (NBA),8.28
Minnesota Timberwolves (NBA),8.27
Boston Celtics (NBA),7.81
Portland Trail Blazers (NBA),10.04
Bayern Munich (Bundesliga),8.12
Cleveland Cavaliers (NBA),9.21
Atletico Madrid (La Liga),7.04
Paris Saint-Germain (Ligue 1),8.93
Memphis Grizzlies (NBA),7.1
Manchester City (EPL),8.73
Los Angeles Clippers (NBA),8.67
New Orleans Pelicans (NBA),7.73
Detroit Pistons (NBA),8.47
Milwaukee Bucks (NBA),8.17
San Antonio Spurs (NBA),7.88
Utah Jazz (NBA),7.74
Denver Nuggets (NBA),9.31
Philadelphia Phillies (MLB),5.85
Brooklyn Nets (NBA),8.04
FC Liverpool (EPL),6.92
Washington Nationals (MLB),5.18
Boston Red Sox (MLB),6.96
Los Angeles Lakers (NBA),7.86
Tottenham (EPL),4.95
Chicago Bulls (NBA),7.45
New York Knicks (NBA),7.08
San Francisco Giants (MLB),2.99
New York Yankees (MLB),7.69
Orlando Magic (NBA),9.48
Internazionale Milan,4.08
AC Milan,3.44
Los Angeles Angels,5.21
Dallas Mavericks (NBA),7.92
Atlanta Hawks,7.48
Sacramento Kings (NBA),7.88
Philadelphia 76ers,8.62
Los Angeles Dodgers (MLB),5.04
Chelsea London (EPL),5.97
Detroit Tigers (MLB),3.12
Arsenal London (EPL),5.99
