Month,Number of cases
Dec 20,2
Dec 19,727
Dec 18,2703
Dec 17,2734
Dec 16,2844
Dec 15,3225
Dec 14,3831
Dec 13,739
Dec 12,1578
Dec 11,2873
Dec 10,2667
Dec 9,2727
Dec 8,2715
Dec 7,3353
Dec 6,592
Dec 5,1098
Dec 4,2549
Dec 3,2364
Dec 2,2611
Dec 1,2674
Nov 30,3289
Nov 29,560
Nov 28,1004
Nov 27,2696
Nov 26,2395
Nov 25,2665
Nov 24,2863
Nov 23,3950
Nov 22,589
Nov 21,1263
Nov 20,3081
Nov 19,2939
Nov 18,3563
Nov 17,4683
Nov 16,5687
Nov 15,1035
Nov 14,2301
Nov 13,5579
Nov 12,6398
Nov 11,1945
Nov 10,7569
Nov 9,8533
Nov 8,1447
Nov 7,3044
Nov 6,6638
Nov 5,7646
Nov 4,9205
Nov 3,12091
Nov 2,13850
Nov 1,2665
Oct 31,6308
Oct 30,15390
Oct 29,15079
Oct 28,17986
Oct 27,22184
Oct 26,19858
Oct 25,4893
Oct 24,11554
Oct 23,18875
Oct 22,17685
Oct 21,17481
Oct 20,19260
Oct 19,15559
Oct 18,4289
Oct 17,7992
Oct 16,13468
Oct 15,11806
Oct 14,12281
Oct 13,12565
Oct 12,9728
Oct 11,2402
Oct 10,4307
Oct 9,7783
Oct 8,6583
Oct 7,6790
Oct 6,5686
Oct 5,5245
Oct 4,1035
Oct 3,1708
Oct 2,3721
Oct 1,1337
Sep 30,1762
Sep 29,1774
Sep 28,1376
Sep 27,1827
Sep 26,2208
Sep 25,1881
Sep 24,1661
Sep 23,1834
Sep 22,1097
Sep 21,1547
Sep 20,1099
Sep 19,1673
Sep 18,2028
Sep 17,1153
Sep 16,489
Sep 15,851
Sep 14,977
Sep 13,941
Sep 12,969
Sep 11,1284
Sep 10,1143
Sep 9,1024
Sep 8,871
Sep 7,918
Sep 6,155
Sep 5,322
Sep 4,728
Sep 3,677
Sep 2,575
Sep 1,565
Aug 31,634
Aug 30,117
Aug 29,195
Aug 28,614
Aug 27,535
Aug 26,524
Aug 25,527
Aug 24,608
Aug 23,115
Aug 22,203
Aug 21,510
Aug 20,579
Aug 19,615
Aug 18,727
Aug 17,707
Aug 16,134
Aug 15,163
Aug 14,587
Aug 13,669
Aug 12,611
Aug 11,717
Aug 10,873
Aug 9,121
Aug 8,303
Aug 7,774
Aug 6,768
Aug 5,765
Aug 4,812
Aug 3,794
Aug 2,148
Aug 1,307
Jul 31,677
Jul 30,634
Jul 29,688
Jul 28,687
Jul 27,593
Jul 26,187
Jul 25,230
Jul 24,496
Jul 23,438
Jul 22,553
Jul 21,144
Jul 20,443
Jul 19,65
Jul 18,129
Jul 17,274
Jul 16,223
Jul 15,260
Jul 14,207
Jul 13,225
Jul 12,43
Jul 11,62
Jul 10,127
Jul 9,123
Jul 8,137
Jul 7,101
Jul 6,113
Jul 5,24
Jul 4,61
Jul 3,94
Jul 2,91
Jul 1,124
Jun 30,100
Jun 29,127
Jun 28,28
Jun 27,40
Jun 26,112
Jun 25,75
Jun 24,100
Jun 23,109
Jun 22,144
Jun 21,19
Jun 20,49
Jun 19,120
Jun 18,104
Jun 17,89
Jun 16,55
Jun 15,71
Jun 14,111
Jun 13,99
Jun 12,108
Jun 11,142
Jun 10,132
Jun 9,89
Jun 8,122
Jun 7,154
Jun 6,165
Jun 5,140
Jun 4,82
Jun 3,70
Jun 2,98
Jun 1,136
May 31,195
May 30,125
May 29,212
May 28,257
May 27,137
May 26,198
May 25,250
May 24,282
May 23,299
May 22,276
May 21,252
May 20,192
May 19,232
May 18,279
May 17,291
May 16,345
May 15,356
May 14,307
May 13,202
May 12,330
May 11,368
May 10,485
May 9,585
May 8,591
May 7,639
May 6,272
May 5,242
May 4,361
May 3,389
May 2,485
May 1,513
Apr 30,660
Apr 29,525
Apr 28,647
Apr 27,553
Apr 26,809
Apr 25,1032
Apr 24,1496
Apr 23,908
Apr 22,933
Apr 21,973
Apr 20,1487
Apr 19,1313
Apr 18,1045
Apr 17,1329
Apr 16,1236
Apr 15,2454
Apr 14,530
Apr 13,942
Apr 12,1629
Apr 11,1351
Apr 10,2336
Apr 9,2239
Apr 8,1598
Apr 7,1515
Apr 6,1934
Apr 5,666
Apr 4,923
Apr 3,1694
Apr 2,1384
Apr 1,1189
Mar 31,876
Mar 30,1063
Mar 29,1702
Mar 28,1850
Mar 27,1049
Mar 26,1298
Mar 25,668
Mar 24,526
Mar 23,342
Mar 22,462
Mar 21,558
Mar 20,462
Mar 19,309
Mar 18,243
Mar 17,185
Mar 16,172
Mar 15,197
Mar 14,133
Mar 13,160
Mar 12,85
Mar 11,47
Mar 10,28
Mar 9,39
Mar 8,31
Mar 7,60
Mar 6,59
Mar 5,27
Mar 4,10
Mar 3,5
Mar 2,6
Mar 1,2
Feb 2,1
