Month,Number of COVID-19 patients in ICU
"Jan 6, 2021",2571
"Jan 5, 2021",2569
"Jan 4, 2021",2579
"Jan 3, 2021",2583
"Jan 2, 2021",2569
"Jan 1, 2021",2553
"Dec 31, 2020",2555
"Dec 30, 2020",2528
"Dec 29, 2020",2549
"Dec 28, 2020",2565
"Dec 27, 2020",2580
"Dec 26, 2020",2580
"Dec 25, 2020",2584
"Dec 24, 2020",2589
"Dec 23, 2020",2624
"Dec 22, 2020",2687
"Dec 21, 2020",2731
"Dec 20, 2020",2743
"Dec 19, 2020",2784
"Dec 18, 2020",2819
"Dec 17, 2020",2855
"Dec 16, 2020",2926
"Dec 15, 2020",3003
"Dec 14, 2020",3095
"Dec 13, 2020",3158
"Dec 12, 2020",3199
"Dec 11, 2020",3265
"Dec 10, 2020",3291
"Dec 9, 2020",3320
"Dec 8, 2020",3345
"Dec 7, 2020",3382
"Dec 6, 2020",3454
"Dec 5, 2020",3517
"Dec 4, 2020",3567
"Dec 3, 2020",3597
"Dec 2, 2020",3616
"Dec 1, 2020",3663
"Nov 30, 2020",3744
"Nov 29, 2020",3753
"Nov 28, 2020",3762
"Nov 27, 2020",3782
"Nov 26, 2020",3846
"Nov 25, 2020",3848
"Nov 24, 2020",3816
"Nov 23, 2020",3810
"Nov 22, 2020",3801
"Nov 21, 2020",3758
"Nov 20, 2020",3748
"Nov 19, 2020",3712
"Nov 18, 2020",3670
"Nov 17, 2020",3612
"Nov 16, 2020",3492
"Nov 15, 2020",3422
"Nov 14, 2020",3306
"Nov 13, 2020",3230
"Nov 12, 2020",3170
"Nov 11, 2020",3081
"Nov 10, 2020",2971
"Nov 9, 2020",2849
"Nov 8, 2020",2749
"Nov 7, 2020",2634
"Nov 6, 2020",2515
"Nov 5, 2020",2391
"Nov 4, 2020",2292
"Nov 3, 2020",2225
"Nov 2, 2020",2022
"Nov 1, 2020",1939
"Oct 31, 2020",1843
"Oct 30, 2020",1746
"Oct 29, 2020",1651
"Oct 28, 2020",1536
"Oct 27, 2020",1411
"Oct 26, 2020",1284
"Oct 25, 2020",1208
"Oct 24, 2020",1128
"Oct 23, 2020",1049
"Oct 22, 2020",992
"Oct 21, 2020",926
"Oct 20, 2020",870
"Oct 19, 2020",797
"Oct 18, 2020",750
"Oct 17, 2020",705
"Oct 16, 2020",638
"Oct 15, 2020",586
"Oct 14, 2020",539
"Oct 13, 2020",514
"Oct 12, 2020",452
"Oct 11, 2020",420
"Oct 10, 2020",390
"Oct 9, 2020",387
"Oct 8, 2020",358
"Oct 7, 2020",337
"Oct 6, 2020",319
"Oct 5, 2020",323
"Oct 4, 2020",303
"Oct 3, 2020",297
"Oct 2, 2020",294
"Oct 1, 2020",291
"Sep 30, 2020",280
"Sep 29, 2020",271
"Sep 28, 2020",264
"Sep 27, 2020",254
"Sep 26, 2020",247
"Sep 25, 2020",244
"Sep 24, 2020",246
"Sep 23, 2020",244
"Sep 22, 2020",239
"Sep 21, 2020",232
"Sep 20, 2020",222
"Sep 19, 2020",215
"Sep 18, 2020",208
"Sep 17, 2020",212
"Sep 16, 2020",207
"Sep 15, 2020",201
"Sep 14, 2020",197
"Sep 13, 2020",187
"Sep 12, 2020",182
"Sep 11, 2020",175
"Sep 10, 2020",164
"Sep 9, 2020",150
"Sep 8, 2020",143
"Sep 7, 2020",142
"Sep 6, 2020",133
"Sep 5, 2020",121
"Sep 4, 2020",121
"Sep 3, 2020",120
"Sep 2, 2020",109
"Sep 1, 2020",107
"Aug 31, 2020",94
"Aug 30 , 2020",86
"Aug 29 , 2020",79
"Aug 28 , 2020",74
"Aug 27 , 2020",67
"Aug 26 , 2020",69
"Aug 25 , 2020",66
"Aug 24 , 2020",65
"Aug 23 , 2020",69
"Aug 22 , 2020",64
"Aug 21 , 2020",69
"Aug 20 , 2020",68
"Aug 19 , 2020",66
"Aug 18 , 2020",58
"Aug 17, 2020",58
"Aug 16, 2020",56
"Aug 15, 2020",55
"Aug 14, 2020",56
"Aug 13, 2020",55
"Aug 12, 2020",53
"Aug 11, 2020",49
"Aug 10, 2020",46
"Aug 9, 2020",45
"Aug 8, 2020",43
"Aug 7, 2020",42
"Aug 6, 2020",42
"Aug 5, 2020",41
"Aug 4, 2020",41
"Aug 3, 2020",41
"Aug 2 , 2020",42
"Aug 1 , 2020",43
"Jul 31 , 2020",41
"Jul 30 , 2020",47
"Jul 29 , 2020",38
