Response,Share of total goods imported
Germany,12.9%
China,9.3%
United States,9.3%
Netherlands,8.4%
France,6.1%
Belgium,5.1%
Italy,3.9%
Spain,3.4%
Norway,3.2%
Ireland,2.7%
Poland,2.2%
Japan,1.9%
Turkey,1.8%
Russia,1.8%
India,1.7%
Canada,1.7%
Switzerland,1.7%
Hong Kong,1.4%
Denmark,1.3%
Sweden,1.3%
Czechia,1.2%
South Africa,0.9%
Vietnam,0.9%
South Korea,0.8%
Australia,0.8%
Austria,0.8%
Taiwan,0.7%
Saudi Arabia,0.7%
Portugal,0.6%
United Arab Emirates,0.6%
Bangladesh,0.6%
Thailand,0.6%
Hungary,0.6%
Singapore,0.6%
Slovakia,0.5%
Finland,0.5%
Qatar,0.5%
Brazil,0.5%
Malaysia,0.4%
Algeria,0.4%
Romania,0.4%
Mexico,0.3%
Nigeria,0.3%
Pakistan,0.3%
Israel,0.2%
Indonesia,0.2%
Greece,0.2%
Egypt,0.2%
New Zealand,0.2%
Cambodia,0.2%
