Brand/segment,Percent change in sales
Neutrogena Rapid Wrinkle Repair/ facial anti-aging,29%
Simple/ facial cleansers,26.8%
Olay Regenerist Micro-Sculpting/ facial anti-aging,15%
Garnier SkinRenew/ facial anti-aging,13.2%
Clearasil Ultra Rapid Action/ acne treatments,9.3%
Cetaphil/ facial cleansers,8.8%
Johnson's Clean & Clear Morning Burst/ facial cleansers,6.9%
Neutrogena Moisture/ facial moisturizer,3.6%
L'Oréal Revitalift/ facial anti-aging,2.2%
RoC Retinol Deep Wrinkle/ facial anti-aging,-0.4%
Nair/ depilatories,-1.3%
Neutrogena Deep Clean/ facial cleansers,-2.5%
Neutrogena Oil-Free Acne Wash/ acne treatment,-3.6%
Olay Total Effects 7-in-1/ facial anti-aging,-5.2%
Pond's/ facial cleanser,-5.4%
Olay Age-Defying/ facial anti-aging,-6.7%
Bioré/ facial cleansers,-8.6%
Olay/ facial cleanser,-12.3%
Olay Complete/ facial moisturizers,-14.1%
Olay Regenerist/ facial anti-aging,-17.4%
