Response,Share of responding businesses
Attracting customers,80%
Increasing revenue,48%
Maintaining profitability,35%
Developing new products/innovation,33%
Uncertainty over economic conditions,28%
Tax laws and rules,28%
Securing financing for expansion,23%
"Other government regulations (e.g., compliance, technical regulation, patents, reporting)",21%
Finding/working with suppliers,21%
Securing financing for business as usual,20%
Retaining/recruiting skilled employees,18%
Selling to foreign markets,12%
