Month,House price index (2015=100)
Sep '20,129.08
Aug '20,129.08
Jul '20,129.08
Jun '20,127.16
May '20,127.16
Apr '20,127.16
Mar '20,127.08
Feb '20,127.08
Jan '20,127.08
Dec '19,126.4
Nov '19,126.4
Oct '19,126.4
Sep '19,126.05
Aug '19,126.05
Jul '19,126.05
Jun '19,123.45
May '19,123.45
Apr '19,123.45
Mar '19,122.08
Feb '19,122.08
Jan '19,122.08
Dec '18,123.28
Nov '18,123.28
Oct '18,123.28
Sep '18,121.34
Aug '18,121.34
Jul '18,121.34
Jun '18,119.07
May '18,119.07
Apr '18,119.07
Mar '18,117.44
Feb '18,117.44
Jan '18,117.44
Dec '17,116.82
Nov '17,116.82
Oct '17,116.82
Sep '17,116.17
Aug '17,116.17
Jul '17,116.17
Jun '17,114.64
May '17,114.64
Apr '17,114.64
Mar '17,112.48
Feb '17,112.48
Jan '17,112.48
Dec '16,112.73
Nov '16,112.73
Oct '16,112.73
Sep '16,112.43
Aug '16,112.43
Jul '16,112.43
Jun '16,111.1
May '16,111.1
Apr '16,111.1
Mar '16,107.13
Feb '16,107.13
Jan '16,107.13
Dec '15,107.04
Nov '15,107.04
Oct '15,107.04
Sep '15,106.11
Aug '15,106.11
Jul '15,106.11
Jun '15,103.06
May '15,103.06
Apr '15,103.06
Mar '15,100.0
Feb '15,100.0
Jan '15,100.0
