Year,GDP per capita in U.S. dollars
2025*,2593.33
2024*,2465.97
2023*,2347.26
2022*,2234.37
2021*,2122.08
2020*,2075.22
2019,2004.42
2018,1888.2
2017,1737.8
2016,1561.86
2015,1483.48
2014,1431.32
2013,1318.79
2012,1238.88
2011,1054.98
2010,1038.95
2009,982.0
2008,978.45
2007,895.23
2006,743.44
2005,621.28
2004,549.16
2003,524.74
2002,474.0
2001,479.6
2000,479.3
1999,500.11
1998,564.74
1997,507.78
1996,516.17
1995,468.0
1994,380.18
1993,326.99
1992,484.7
1991,506.8
1990,552.68
1989,546.95
1988,570.52
1987,569.04
1986,536.79
1985,467.4
