State,Unemployment rate
New Jersey,10.2%
Hawaii,10.1%
Nevada,10.1%
New York,8.4%
Louisiana,8.3%
Connecticut,8.2%
California,8.2%
Alaska,8.1%
Texas,8.1%
Arizona,7.8%
District of Columbia,7.5%
New Mexico,7.5%
Rhode Island,7.3%
Illinois,6.9%
Michigan,6.9%
Maryland,6.8%
Massachusetts,6.7%
Pennsylvania,6.6%
Florida,6.4%
Mississippi,6.4%
Colorado,6.4%
Arkansas,6.2%
North Carolina,6.2%
West Virginia,6.2%
Washington,6%
Oregon,6%
Oklahoma,5.9%
Georgia,5.7%
Ohio,5.7%
Kansas,5.6%
Kentucky,5.6%
Tennessee,5.3%
Delaware,5.1%
Wyoming,5.1%
Maine,5%
Wisconsin,5%
Indiana,5%
Montana,4.9%
Virginia,4.9%
Idaho,4.8%
North Dakota,4.5%
South Carolina,4.4%
Minnesota,4.4%
Alabama,4.4%
Missouri,4.4%
Utah,4.3%
New Hampshire,3.8%
Iowa,3.6%
South Dakota,3.5%
Nebraska,3.1%
Vermont,3.1%
