State,Per capita Real GDP in chained 2012 U.S. dollars
Massachusetts,75258
New York,75131
Alaska,74422
North Dakota,70991
California,70662
Connecticut,69789
Washington,69761
Wyoming,67915
Delaware,64985
New Jersey,63492
Maryland,61926
Illinois,61713
Texas,61682
Colorado,61311
Minnesota,60066
Nebraska,59386
Hawaii,58981
United States,58107
New Hampshire,57272
Virginia,56938
Pennsylvania,56868
Iowa,55051
Kansas,53528
South Dakota,52913
Oregon,52726
Ohio,52664
Wisconsin,52534
Rhode Island,51963
Louisiana,51729
Utah,51407
Oklahoma,50876
Georgia,50816
Nevada,50043
Indiana,49321
Vermont,48855
North Carolina,48496
Tennessee,48440
Michigan,47448
Missouri,47407
New Mexico,46304
Florida,44267
Arizona,44161
Montana,44145
Maine,43541
Kentucky,42386
South Carolina,41457
Alabama,41389
Idaho,40566
West Virginia,40265
Arkansas,39580
Mississippi,35015
