Football player,Games played
Iker Casillas,177
Cristiano Ronaldo,169
Xavi Hernández,151
Raúl González,142
Ryan Giggs,141
Lionel Messi,141
Andrés Iniesta,130
Clarence Seedorf,125
Sergio Ramos,124
Paul Scholes,124
Gianluigi Buffon,123
Roberto Carlos,120
Xabi Alonso,119
Karim Benzema,119
Zlatan Ibrahimović,119
Carles Puyol,115
Gerard Piqué,114
Sergio Busquets,112
Thierry Henry,112
Philipp Lahm,112
Dani Alves,111
Petr Čech,111
Thomas Müller,111
Arjen Robben,110
Paolo Maldini,109
Gary Neville,109
John Terry,109
