Response,Percentage of repondents
Our BCM program is approved by management,56%
We have incident and crisis management procedures in place,55%
We have procedures to enable the continuity of the ICT infrastructure,55%
We have procedures in place to enable the continuity of critical business processes,55%
We have procedures to protect our organization's people,55%
Our BCM program covers all critical business processes,53%
We continously improve our BCM program,49%
We have identified the recovery time for business-critical resources,49%
Our BCM program is well-documented and robust,47%
We continously identify and assess key continuity threats and risks,39%
We have established relationships with local emergency response groups,38%
We continously monitor and report on BCM related risks,33%
We do not have a BCM program,18%
