Quarter,Number of licensed vehicles
Q4 '19,195061
Q3 '19,183824
Q2 '19,172530
Q1 '19,167529
Q4 '18,162603
Q3 '18,157190
Q2 '18,143630
Q1 '18,131921
Q4 '17,120134
Q3 '17,109950
Q2 '17,98133
Q1 '17,89273
Q4 '16,78225
Q3 '16,71049
Q2 '16,62105
Q1 '16,54635
Q4 '15,44482
Q3 '15,38174
Q2 '15,32417
Q1 '15,27439
Q4 '14,19991
Q3 '14,15014
Q2 '14,10464
Q1 '14,8305
Q4 '13,6650
Q3 '13,5749
Q2 '13,4804
Q1 '13,3909
Q4 '12,3321
Q3 '12,2629
Q2 '12,2001
Q1 '12,1527
Q4 '11,1171
Q3 '11,1039
Q2 '11,734
Q1 '11,400
Q4 '10,134
Q3 '10,105
Q2 '10,96
Q1 '10,98
