"City, country",Population in thousands
"Tokyo, Japan",37468
"Delhi, India",28514
"Shanghai, China",25582
"São Paulo, Brazil",21650
"Mexico City, Mexico",21581
"Dhaka, Bangladesh",19578
"Cairo, Egypt",20076
"Beijing, China",19618
"Mumbai, India",19980
"Osaka, Japan",19281
"New York-Newark, U.S.",18819
"Karachi, Pakistan",15400
"Buenos Aires, Argentina",14967
"Chongqing, China",14838
"Istanbul, Turkey",14751
"Calcutta, India",14681
"Manila, Philippines",13482
"Lagos, Nigeria",13463
"Rio de Janeiro, Brazil",13293
"Tianjin, China",13215
"Kinshasa, DR Congo",13171
"Guangzhou, China",12638
"Los Angeles-Long Beach-Santa Ana, U.S.",12458
"Moscow, Russia",12410
"Shenzhen, China",11908
