Month,Number of tests
"Jan 7, 2021",2774915
"Jan 6, 2021",2729881
"Jan 5, 2021",2727896
"Jan 4, 2021",2700631
"Jan 3, 2021",2691904
"Jan 2, 2021",2685944
"Jan 1, 2021",2675247
Dec 31. 2020,2657119
"Dec 30, 2020",2639729
"Dec 29, 2020",2621427
"Dec 28, 2020",2615237
"Dec 27, 2020",2610590
"Dec 26, 2020",2607298
"Dec 25, 2020",2597804
"Dec 24, 2020",2575650
"Dec 23, 2020",2549464
"Dec 22, 2020",2528225
"Dec 21, 2020",2520288
"Dec 20, 2020",2504837
"Dec 19, 2020",2480804
"Dec 18, 2020",2456600
"Dec 17, 2020",2424533
"Dec 16, 2020",2406171
"Dec 15, 2020",2393535
"Dec 14, 2020",2320419
"Dec 13, 2020",2301174
"Dec 12, 2020",2275935
"Dec 11, 2020",2245483
"Dec 10, 2020",2216880
"Dec 9, 2020",2187555
"Dec 8, 2020",2158818
"Dec 7, 2020",1963148
"Dec 6, 2020",1941724
"Dec 5, 2020",1918043
"Dec 4, 2020",1894753
"Dec 3, 2020",1876274
"Dec 2, 2020",1850230
"Dec 1, 2020",1653780
"Nov 30, 2020",1648022
"Nov 29, 2020",1639076
"Nov 28, 2020",1622765
"Nov 27, 2020",1601203
"Nov 26, 2020",1566619
"Nov 25, 2020",1548318
"Nov 24, 2020",1528302
"Nov 23, 2020",1518158
"Nov 22, 2020",1502847
"Nov 21, 2020",1480674
"Nov 20, 2020",1455868
"Nov 19, 2020",1433008
"Nov 18, 2020",1409651
"Nov 17, 2020",1388132
"Nov 16, 2020",1360840
"Nov 15, 2020",1354742
"Nov 14, 2020",1326027
"Nov 13, 2020",1306887
"Nov 12, 2020",1282975
"Nov 11, 2020",1259454
"Nov 10, 2020",1238467
"Nov 9, 2020",1225399
"Nov 8, 2020",1209151
"Nov 7, 2020",1189962
"Nov 6, 2020",1167641
"Nov 5, 2020",1147616
"Nov 4, 2020",1129648
"Nov 3, 2020",1111991
"Nov 2, 2020",1097371
"Nov 1, 2020",1083743
"Oct 31, 2020",1065143
"Oct 30, 2020",1048580
"Oct 29, 2020",1032942
"Oct 28, 2020",1017689
"Oct 27, 2020",1002093
"Oct 26, 2020",990383
"Oct 25, 2020",980373
"Oct 24, 2020",961441
"Oct 23, 2020",949470
"Oct 22, 2020",935842
"Oct 21, 2020",919481
"Oct 20, 2020",910368
"Oct 19, 2020",904036
"Oct 18, 2020",894385
"Oct 17, 2020",884388
"Oct 16, 2020",871417
"Oct 15, 2020",861620
"Oct 14, 2020",850878
"Oct 13, 2020",841220
"Oct 12, 2020",834097
"Oct 11, 2020",825570
"Oct 10, 2020",815367
"Oct 9, 2020",803648
"Oct 8, 2020",792485
"Oct 7, 2020",781023
"Oct 6, 2020",771297
"Oct 5, 2020",765598
"Oct 4, 2020",759174
"Oct 3, 2020",751217
"Oct 2, 2020",740043
"Oct 1, 2020",727649
"Sep 30, 2020",715677
"Sep 29, 2020",704510
"Sep 28, 2020",697473
"Sep 27, 2020",690408
"Sep 26, 2020",680335
"Sep 25, 2020",668553
"Sep 24, 2020",657437
"Sep 23, 2020",645492
"Sep 22, 2020",632031
"Sep 21, 2020",626021
"Sep 20, 2020",615999
"Sep 19, 2020",604122
"Sep 18, 2020",591618
"Sep 17, 2020",580072
"Sep 16, 2020",567691
"Sep 15, 2020",557864
"Sep 14, 2020",549211
"Sep 13, 2020",537897
"Sep 12, 2020",529063
"Sep 11, 2020",517222
"Sep 10, 2020",505585
"Sep 9, 2020",495481
"Sep 8, 2020",487146
"Sep 7, 2020",481424
"Sep 6, 2020",470000
"Sep 5, 2020",460235
"Sep 4, 2020",452138
"Sep 3, 2020",445047
"Sep 2, 2020",437531
"Sep 1, 2020",429942
"Aug 31, 2020",428150
"Aug 30, 2020",424270
"Aug 29, 2020",417890
"Aug 28, 2020",414645
"Aug 27, 2020",408799
"Aug 26, 2020",405067
"Aug 25, 2020",400442
"Aug 24, 2020",398550
"Aug 23, 2020",397092
"Aug 22, 2020",394911
"Aug 21, 2020",393431
"Aug 20, 2020",390079
"Aug 19, 2020",387111
"Aug 18, 2020",383411
"Aug 17, 2020",380932
"Aug 16, 2020",378608
"Aug 15, 2020",375685
"Aug 14, 2020",372687
"Aug 13, 2020",369545
"Aug 12, 2020",366356
"Aug 11, 2020",363459
"Aug 10, 2020",362660
"Aug 9, 2020",360772
"Aug 8, 2020",358437
"Aug 7, 2020",355467
"Aug 6, 2020",352546
"Aug 5, 2020",350108
"Aug 4, 2020",348132
"Aug 3, 2020",346962
"Aug 2, 2020",344997
"Aug 1, 2020",342887
"Jul 31, 2020",339163
"Jul 30, 2020",336461
"Jul 29, 2020",333446
"Jul 28, 2020",330239
"Jul 27, 2020",328583
"Jul 26, 2020",326554
"Jul 25, 2020",323673
"Jul 24, 2020",319854
"Jul 23, 2020",316120
"Jul 22, 2020",312988
"Jul 21, 2020",310930
"Jul 20, 2020",310070
"Jul 19, 2020",307846
"Jul 18, 2020",305133
"Jul 17, 2020",302749
"Jul 16, 2020",300632
"Jul 15, 2020",299185
"Jul 14, 2020",296358
"Jul 13, 2020",295561
"Jul 12, 2020",294425
"Jul 11, 2020",293220
"Jul 10, 2020",292032
"Jul 9, 2020",289602
"Jul 8, 2020",288693
"Jul 7, 2020",286983
"Jul 6, 2020",286083
"Jul 5, 2020",285590
"Jul 4, 2020",283508
"Jul 3, 2020",281628
"Jul 2, 2020",279690
"Jul 1, 2020",277750
"Jun 30, 2020",271194
"Jun 29, 2020",273897
"Jun 28, 2020",274945
"Jun 27, 2020",270263
"Jun 26, 2020",267056
"Jun 25, 2020",265129
"Jun 24, 2020",261420
