Month,Attendance in millions
Dec 23-29,1.8
Dec 16-22,1.5
Dec 9-15,1.1
Dec 2-8,1.0
Nov 25-Dec 1,1.2
Nov 18-24,1.4
Nov 11-17,2.0
Nov 4-10,1.6
Oct 28-Nov 3,1.7
Oct 21-27,1.2
Oct 14-20,1.2
Oct 7-13,1.4
Sep 30-Oct 6,1.5
Sep 23-29,1.8
Sep 16-22,2.1
Sep 9-15,1.7
Sep 2-8,1.2
Aug 26-Sep 1,0.7
Aug 19-25,0.5
Aug 12-18,0.36
Aug 5-11,0.27
Jul 29-Aug 4,0.18
Jul 22-28,0.05
Jul 15-21,0.03
Jul 8-14,0.02
Jul 1-7,0.01
Jun 24-30*,0.0
Jun 17-23*,0.0
Jun 10-16*,0.0
Jun 3-9*,0.0
May 27-Jun 2*,0.0
May 20-26*,0.0
May 13-19*,0.0
May 6-12*,0.0
Apr 29-May 5*,0.0
Apr 22-28*,0.0
Apr 15-21*,0.0
Apr 8-14*,0.0
Apr 1-7,0.0
Mar 25-31,0.1
Mar 18-24,1.5
Mar 11-17,2.9
Mar 4-10,4.8
Feb 26-Mar 3,3.7
Feb 19-25,7.1
Feb 12-18,5.8
Feb 5-11,3.2
