Year,Inflation rate compared to previous year
2025*,2.5%
2024*,2.5%
2023*,2.52%
2022*,1.7%
2021*,1.41%
2020*,-0.28%
2019,0.68%
2018,4.45%
2017,3.61%
2016,-0.62%
2015,-1.1%
2014,2.9%
2013,4.83%
2012,4.52%
2011,4.16%
2010,4.85%
2009,-0.74%
2008,13.97%
2007,4.74%
2006,6.26%
2005,3.49%
2004,3.37%
2003,1.63%
2002,1.84%
2001,1.77%
2000,0.67%
1999,0.6%
1998,3.08%
1997,3.04%
1996,6.5%
1995,2.35%
1994,3.52%
1993,3.3%
1992,4.02%
1991,8.16%
1990,16.19%
1989,25.67%
1988,6.71%
1987,-0.21%
1986 **,-
1985,2.81%
