Response,Share of respondents
Saving money,60%
Waiting for time to visit properly,38%
Price of flights,30%
Currency exchange rates,16%
Finding the right people to go with,16%
Terrorism activity,14%
Waiting for a different life stage,13%
Political situation,12%
Transport connections,12%
Waiting for my children to be older,10%
Waiting until I am fitter,10%
Waiting for a particular event,10%
Health scares,9%
Waiting until I have learned the language,8%
Extreme weather patterns,8%
Waiting until I have learned/improved a skill,6%
Natural disasters,6%
