Response,Share of respondents
Email/ messenger sites,78%
Search engines,73%
Online shopping sites,70%
News & weather sites,64%
Online banking sites,64%
Social networking (including video/ image sharing and blogs/ forums),53%
Price comparison sites,47%
General information sites (Encyclopaedia/ reference sites),47%
"Local transport sites/maps (train times, route planning etc.)",38%
Sports news/ scores sites,35%
"Public services/ local authority sites (Government, health, council information etc.)",33%
TV on demand sites,32%
"General entertainment (Gaming, films, music etc.)",32%
International travel/ holiday sites,31%
Tickets sites,23%
Local entertainment sites (i.e. what's going on in your local area),22%
Advice sites,19%
Gossip/ celebrity news sites,18%
Property sites,17%
Adult entertainment,12%
Business directories,9%
I use other types of sites,2%
