type of sport,"Number of participants in 1,000"
Any activity,17002
Leisure time at the beach,10084
Coastal walking,7682
Outdoor swimming,6125
Any boating activity,3931
Canoeing,1779
Surfing/bodyboarding/paddleboarding,1379
Angling,1076
Sea angling,758
Paddle boarding,614
Motor boating/cruising,583
Body boarding,551
Cliff climbing,483
Canal boating,450
Freshwater angling,440
Power boating,386
Rowing/sculling,373
Yacht cruising,370
Leisure subaqua diving,365
Coasteering,298
Water skiing & wakeboarding,297
Using personal watercraft,254
Small sail boat racing,217
Small sail boat activities,514
Recreation sea fishing,172
Windsurfing,123
Yacht racing,92
Kitesurfing,59
