Month,Number of new cases
"Jan 6, 2021",8
"Jan 5, 2021",19
"Jan 4, 2021",20
"Jan 3, 2021",31
"Jan 2, 2021",16
"Jan 1, 2021",31
"Dec 31, 2020",29
"Dec 30, 2020",27
"Dec 29, 2020",39
"Dec 28, 2020",35
"Dec 27, 2020",32
"Dec 26, 2020",34
"Dec 25, 2020",28
"Dec 24, 2020",18
"Dec 23, 2020",21
"Dec 22, 2020",34
"Dec 21, 2020",29
"Dec 20, 2020",24
"Dec 19, 2020",22
"Dec 18, 2020",29
"Dec 17, 2020",27
"Dec 16, 2020",24
"Dec 15, 2020",32
"Dec 14, 2020",28
"Dec 13, 2020",22
"Dec 12, 2020",17
"Dec 11, 2020",25
"Dec 10, 2020",32
"Dec 9, 2020",22
"Dec 8, 2020",20
"Dec 7, 2020",27
"Dec 6, 2020",25
"Dec 5, 2020",18
"Dec 4, 2020",18
"Dec 3, 2020",23
"Dec 2, 2020",41
"Dec 1, 2020",20
"Nov 30, 2020",22
"Nov 29, 2020",27
"Nov 28, 2020",22
"Nov 27, 2020",15
"Nov 26, 2020",28
"Nov 25, 2020",24
"Nov 24, 2020",29
"Nov 23, 2020",24
"Nov 22, 2020",29
"Nov 21, 2020",19
"Nov 20, 2020",16
"Nov 19, 2020",22
"Nov 18, 2020",20
"Nov 17, 2020",24
"Nov 16, 2020",22
"Nov 15, 2020",18
"Nov 14, 2020",21
"Nov 13, 2020",30
"Nov 12, 2020",13
"Nov 11, 2020",18
"Nov 10, 2020",9
"Nov 9, 2020",12
"Nov 8, 2020",16
"Nov 7, 2020",16
"Nov 6, 2020",17
"Nov 5, 2020",13
"Nov 4, 2020",13
"Nov 3, 2020",14
"Nov 2, 2020",20
"Nov 1, 2020",9
"Oct 31, 2020",7
"Oct 30, 2020",10
"Oct 29, 2020",6
"Oct 28, 2020",12
"Oct 27, 2020",10
"Oct 26, 2020",5
"Oct 25, 2020",7
"Oct 24, 2020",4
"Oct 23, 2020",7
"Oct 22, 2020",9
"Oct 21, 2020",4
"Oct 20, 2020",2
"Oct 19, 2020",4
"Oct 18, 2020",5
"Oct 17, 2020",1
"Oct 16, 2020",2
"Oct 15, 2020",1
"Oct 14, 2020",4
"Oct 13, 2020",3
"Oct 12, 2020",3
"Oct 11, 2020",1
"Oct 10, 2020",5
"Oct 9, 2020",3
"Oct 8, 2020",3
"Oct 7, 2020",3
"Oct 6, 2020",2
"Oct 5, 2020",5
"Oct 4, 2020",1
"Oct 3, 2020",3
"Oct 2, 2020",0
"Oct 1, 2020",3
"Sep 30, 2020",4
"Sep 29, 2020",0
"Sep 28, 2020",3
"Sep 27, 2020",0
"Sep 26, 2020",0
"Sep 25, 2020",1
"Sep 24, 2020",2
"Sep 23, 2020",3
"Sep 22, 2020",2
"Sep 21, 2020",0
"Sep 20, 2020",0
"Sep 19, 2020",2
"Sep 18, 2020",1
"Sep 17, 2020",0
"Sep 16, 2020",1
"Sep 15, 2020",2
"Sep 14, 2020",1
"Sep 13, 2020",1
"Sep 12, 2020",4
"Sep 11, 2020",2
"Sep 10, 2020",0
"Sep 9, 2020",1
"Sep 8, 2020",0
"Sep 7, 2020",0
"Sep 6, 2020",0
"Sep 5, 2020",1
"Sep 4, 2020",0
"Sep 3, 2020",3
"Sep 2, 2020",3
"Sep 1, 2020",1
"Aug 31, 2020",0
"Aug 30, 2020",1
"Aug 29, 2020",0
"Aug 28, 2020",0
"Aug 27, 2020",1
"Aug 26, 2020",1
"Aug 25, 2020",1
"Aug 24, 2020",3
"Aug 23, 2020",1
"Aug 22, 2020",1
"Aug 21, 2020",0
"Aug 20, 2020",1
"Aug 19, 2020",2
"Aug 18, 2020",2
"Aug 17, 2020",1
"Aug 16, 2020",1
"Aug 15, 2020",2
"Aug 14, 2020",0
"Aug 13, 2020",4
"Aug 12, 2020",2
"Aug 11, 2020",3
"Aug 10, 2020",1
"Aug 9, 2020",2
"Aug 8, 2020",5
"Aug 7, 2020",2
"Aug 6, 2020",2
"Aug 5, 2020",3
"Aug 4, 2020",1
"Aug 3, 2020",1
"Aug 2, 2020",4
"Aug 1, 2020",3
"Jul 31, 2020",1
"Jul 30, 2020",0
"Jul 29, 2020",2
"Jul 28, 2020",0
"Jul 27, 2020",1
"Jul 26, 2020",1
"Jul 25, 2020",0
"Jul 24, 2020",1
"Jul 23, 2020",1
"Jul 22, 2020",1
"Jul 21, 2020",5
"Jul 20, 2020",3
"Jul 19, 2020",2
"Jul 18, 2020",0
"Jul 17, 2020",3
"Jul 16, 2020",4
"Jul 15, 2020",0
"Jul 14, 2020",2
"Jul 13, 2020",3
"Jul 12, 2020",3
"Jul 11, 2020",2
"Jul 10, 2020",2
"Jul 09, 2020",2
"Jul 08, 2020",1
"Jul 07, 2020",2
"Jul 06, 2020",2
"Jul 05, 2020",5
"Jul 04, 2020",1
"Jul 03, 2020",3
"Jul 02, 2020",10
"Jul 01, 2020",6
"Jun 30, 2020",5
"Jun 29, 2020",4
"Jun 28, 2020",8
"Jun 27, 2020",5
"Jun 26, 2020",5
"Jun 25, 2020",10
"Jun 24, 2020",6
"Jun 23, 2020",7
"Jun 22, 2020",15
"Jun 21, 2020",12
"Jun 20, 2020",6
"Jun 19, 2020",8
"Jun 18, 2020",13
"Jun 17, 2020",13
"Jun 16, 2020",9
"Jun 15, 2020",13
"Jun 14, 2020",12
"Jun 13, 2020",14
"Jun 12, 2020",12
"Jun 11, 2020",12
"Jun 10, 2020",9
"Jun 09, 2020",16
"Jun 08, 2020",16
"Jun 07, 2020",14
"Jun 06, 2020",20
"Jun 05, 2020",20
"Jun 04, 2020",16
"Jun 03, 2020",18
"Jun 02, 2020",15
"Jun 01, 2020",20
"May 31, 2020",14
"May 30, 2020",19
"May 29, 2020",13
"May 28, 2020",19
"May 27, 2020",15
"May 26, 2020",14
"May 25, 2020",28
"May 24, 2020",17
"May 23, 2020",16
"May 22, 2020",15
"May 21, 2020",13
"May 20, 2020",14
"May 19, 2020",13
"May 18, 2020",23
"May 17, 2020",20
"May 16, 2020",18
"May 15, 2020",21
"May 14, 2020",15
"May 13, 2020",19
"May 12, 2020",16
"May 11, 2020",15
"May 10, 2020",17
"May 09, 2020",14
"May 08, 2020",26
"May 07, 2020",28
"May 06, 2020",26
"May 05, 2020",20
"May 04, 2020",25
"May 03, 2020",27
"May 02, 2020",28
"May 01, 2020",15
"Apr 30, 2020",33
"Apr 29, 2020",25
"Apr 28, 2020",32
"Apr 27, 2020",28
"Apr 26, 2020",26
"Apr 25, 2020",28
"Apr 24, 2020",46
"Apr 23, 2020",27
"Apr 22, 2020",49
"Apr 21, 2020",34
"Apr 20, 2020",28
"Apr 19, 2020",33
"Apr 18, 2020",29
"Apr 17, 2020",39
"Apr 16, 2020",33
"Apr 15, 2020",32
"Apr 14, 2020",41
"Apr 13, 2020",43
"Apr 12, 2020",36
"Apr 11, 2020",45
"Apr 10, 2020",36
"Apr 09, 2020",36
"Apr 08, 2020",47
"Apr 07, 2020",45
"Apr 06, 2020",44
"Apr 05, 2020",44
"Apr 04, 2020",36
"Apr 03, 2020",39
"Apr 02, 2020",47
"Apr 01, 2020",48
"Mar 31, 2020",34
"Mar 30, 2020",29
"Mar 29, 2020",41
"Mar 28, 2020",28
"Mar 27, 2020",29
"Mar 26, 2020",40
"Mar 25, 2020",31
"Mar 24, 2020",32
"Mar 23, 2020",37
"Mar 22, 2020",27
"Mar 21, 2020",13
"Mar 20, 2020",17
"Mar 19, 2020",8
"Mar 18, 2020",15
"Mar 17, 2020",3
"Mar 16, 2020",5
"Mar 15, 2020",5
"Mar 14, 2020",6
"Mar 13, 2020",2
"Mar 12, 2020",0
"Mar 11, 2020",1
"Mar 10, 2020",2
"Mar 09, 2020",0
"Mar 08, 2020",1
"Mar 07, 2020",1
"Mar 06, 2020",1
