Month,Number of patients
"Dec 15, 2020",439
"Dec 14, 2020",429
"Dec 13, 2020",390
"Dec 12, 2020",371
"Dec 11, 2020",361
"Dec 10, 2020",342
"Dec 9, 2020",349
"Dec 8, 2020",354
"Dec 7, 2020",328
"Dec 6, 2020",302
"Dec 5, 2020",279
"Dec 4, 2020",293
"Dec 3, 2020",267
"Dec 2, 2020",266
"Dec 1, 2020",254
"Nov 30, 2020",259
"Nov 29, 2020",256
"Nov 28, 2020",249
"Nov 27, 2020",254
"Nov 26, 2020",244
"Nov 25, 2020",251
"Nov 24, 2020",255
"Nov 23, 2020",261
"Nov 22, 2020",254
"Nov 21, 2020",237
"Nov 20, 2020",244
"Nov 19, 2020",255
"Nov 18, 2020",248
"Nov 17, 2020",259
"Nov 16, 2020",267
"Nov 15, 2020",259
"Nov 14, 2020",243
"Nov 13, 2020",236
"Nov 12, 2020",239
"Nov 11, 2020",216
"Nov 10, 2020",211
"Nov 9, 2020",196
"Nov 8, 2020",188
"Nov 7, 2020",187
"Nov 6, 2020",191
"Nov 5, 2020",182
"Nov 4, 2020",184
"Nov 3, 2020",169
"Nov 2, 2020",174
"Nov 1, 2020",156
"Oct 31, 2020",147
"Oct 30, 2020",144
"Oct 29, 2020",139
"Oct 28, 2020",136
"Oct 27, 2020",137
"Oct 26, 2020",145
"Oct 25, 2020",127
"Oct 24, 2020",120
"Oct 23, 2020",125
"Oct 22, 2020",124
"Oct 21, 2020",122
"Oct 20, 2020",128
"Oct 19, 2020",129
"Oct 18, 2020",119
"Oct 17, 2020",110
"Oct 16, 2020",110
"Oct 15, 2020",104
"Oct 14, 2020",104
"Oct 13, 2020",103
"Oct 12, 2020",107
"Oct 11, 2020",102
"Oct 10, 2020",103
"Oct 9, 2020",106
"Oct 8, 2020",115
"Oct 7, 2020",116
"Oct 6, 2020",124
"Oct 5, 2020",120
"Oct 4, 2020",105
"Oct 3, 2020",105
"Oct 2, 2020",106
"Oct 1, 2020",109
"Sep 30, 2020",102
"Sep 29, 2020",107
"Sep 28, 2020",110
"Sep 27, 2020",95
"Sep 26, 2020",97
"Sep 25, 2020",101
"Sep 24, 2020",95
"Sep 23, 2020",78
"Sep 22, 2020",79
"Sep 21, 2020",75
"Sep 20, 2020",67
"Sep 19, 2020",62
"Sep 18, 2020",58
"Sep 17, 2020",60
"Sep 16, 2020",51
"Sep 15, 2020",56
"Sep 14, 2020",50
"Sep 13, 2020",47
"Sep 12, 2020",43
"Sep 11, 2020",44
"Sep 10, 2020",35
"Sep 9, 2020",30
"Sep 8, 2020",28
"Sep 7, 2020",29
"Sep 6, 2020",27
"Sep 5, 2020",16
"Sep 4, 2020",18
"Sep 3, 2020",17
"Sep 2, 2020",15
"Sep 1, 2020",20
"Aug 31, 2020",23
"Aug 30, 2020",21
"Aug 29, 2020",21
"Aug 28, 2020",21
"Aug 27, 2020",19
"Aug 26, 2020",19
"Aug 25, 2020",21
"Aug 24, 2020",20
"Aug 23, 2020",19
"Aug 22, 2020",22
"Aug 21, 2020",22
"Aug 20, 2020",20
"Aug 19, 2020",16
"Aug 18, 2020",18
"Aug 17, 2020",16
"Aug 16, 2020",12
"Aug 15, 2020",14
"Aug 14, 2020",14
"Aug 13, 2020",13
"Aug 12, 2020",16
"Aug 11, 2020",20
"Aug 10, 2020",23
"Aug 9, 2020",20
"Aug 8, 2020",21
"Aug 7, 2020",25
"Aug 6, 2020",24
"Aug 5, 2020",23
"Aug 4, 2020",24
"Aug 3, 2020",24
"Aug 2, 2020",20
"Aug 1, 2020",16
"Jul 31, 2020",18
"Jul 30, 2020",18
"Jul 29, 2020",21
"Jul 28, 2020",22
"Jul 27, 2020",23
"Jul 26, 2020",23
"Jul 25, 2020",17
"Jul 24, 2020",16
"Jul 23, 2020",19
"Jul 22, 2020",16
"Jul 21, 2020",18
"Jul 20, 2020",18
"Jul 19, 2020",19
"Jul 18, 2020",16
"Jul 17, 2020",20
"Jul 16, 2020",17
"Jul 15, 2020",19
"Jul 14, 2020",17
"Jul 13, 2020",18
"Jul 12, 2020",18
"Jul 11, 2020",15
"Jul 10, 2020",17
"Jul 09, 2020",18
"Jul 08, 2020",18
"Jul 07, 2020",17
"Jul 06, 2020",23
