Metropolitan area,Number of residents in thousands
"Toronto, Ontario",6471.85
"Montréal, Quebec",4318.51
"Vancouver, British Columbia",2691.35
"Calgary, Alberta",1514.72
"Edmonton, Alberta",1447.14
"Ottawa-Gatineau, Ontario/Quebec",1441.12
"Winnipeg, Manitoba",844.57
"Québec, Quebec",824.41
"Hamilton, Ontario",794.72
"Kitchener-Cambridge-Waterloo, Ontario",584.26
"London, Ontario",545.44
"Halifax, Nova Scotia",440.35
"St. Catharines-Niagara, Ontario",434.93
"Oshawa, Ontario",413.94
"Victoria, British Columbia",402.27
"Windsor, Ontario",354.92
"Saskatoon, Saskatchewan",330.67
"Regina, Saskatchewan",261.68
"Sherbrooke, Quebec",221.04
"Kelowna, British Columbia",217.23
"Barrie, Ontario",213.66
"St. John's, Newfoundland and Labrador",212.43
"Abbotsford-Mission, British Columbia",201.95
"Kingston, Ontario",175.71
"Greater Sudbury, Ontario",172.22
"Guelph, Ontario",165.24
"Saguenay, Quebec",162.42
"Trois-Rivières, Quebec",160.69
"Moncton, New Brunswick",155.82
"Brantford, Ontario",149.02
"Peterborough, Ontario",131.42
"Saint John, New Brunswick",131.03
"Thunder Bay, Ontario",127.2
