Month,Sales in billion U.S. dollars
Sep '20,8.09
Aug' 20,7.92
Jul '20,7.71
Jun '20,7.63
May '20,7.43
Apr '20,7.28
Mar '20,7.37
Feb '20,7.29
Jan '20,7.37
Dec '19,7.49
Nov '19,7.48
Oct '19,7.29
Sep '19,6.73
Aug '19,6.4
Jul '19,6.09
Jun '19,5.89
May '19,5.92
Apr '19,5.86
Mar '19,6.05
Feb '19,6.36
Jan '19,7.31
Dec '18,8.4
Nov '18,9.58
Oct '18,9.85
Sep '18,9.5
Aug '18,8.83
Jul '18,8.39
Jun '18,8.34
May '18,8.24
Apr '18,8.16
Mar '18,8.09
Feb '18,8.25
Jan '18,8.63
Dec '17,8.95
Nov '17,8.77
Oct '17,8.54
Sep '17,8.0
Aug '17,7.55
Jul '17,6.94
Jun '17,6.59
May '17,6.25
Apr '17,6.09
Mar '17,5.96
Feb '17,5.99
Jan '17,6.13
Dec '16,6.33
Nov '16,6.25
Oct '16,6.06
Sep '16,5.68
Aug '16,5.43
Jul '16,5.1
Jun '16,4.94
May '16,4.79
Apr '16,4.78
Mar '16,4.89
Feb '16,5.03
Jan '16,5.41
Dec '15,5.75
Nov '15,6.07
Oct '15,6.05
Sep '15,5.82
Aug '15,5.58
Jul '15,5.51
Jun '15,5.53
May '!5,5.62
Apr '15,5.61
Mar '15,5.81
Feb '15,6.23
Jan '15,6.51
Dec '14,6.73
Nov '14,6.53
Oct '14,6.41
Sep '14,6.06
Aug '14,5.6
Jul '14,5.43
Jun '14,5.27
May '14,5.09
Apr '14,5.0
Mar '14,5.08
Feb '14,5.32
Jan '14,5.59
Dec '13,5.8
Nov '13,5.87
Oct '13,5.71
Sep '13,5.55
Aug '13,5.15
Jul '13,5.02
Jun '13,4.76
May '13,4.6
Apr '13,4.36
Mar '13,4.38
Feb '13,4.47
Jan '13,4.78
Dec '12,4.94
Nov '12,5.02
Oct '12,4.79
Sept '12,4.43
Aug '12,4.19
Jul '12,4.14
Jun '12,4.32
May '12,4.48
Apr '12,4.56
Mar '12,4.46
Febr '12,4.36
Jan '12,4.31
