Year,GDP per capita in U.S. dollars
2025*,2542.21
2024*,2437.41
2023*,2317.6
2022*,2198.09
2021*,2129.75
2020*,2021.31
2019*,2967.96
2018*,3620.59
2017,4303.69
2016,3620.59
2015,4354.92
2014,5625.74
2013,5436.52
2012,5245.02
2011,4716.25
2010,3641.44
2009,3146.8
2008,4081.69
2007,3099.09
2006,2561.86
2005,1862.42
2004,1222.04
2003,951.97
2002,841.42
2001,619.7
2000,652.11
1999,452.68
1998,493.04
1997,599.08
1996,525.4
1995,419.53
1994,346.24
1993,489.76
1992,695.06
1991,928.51
1990,986.64
1989,920.27
1988,812.79
1987,769.56
1986,690.45
1985,758.53
