Year,GDP per capita in U.S. dollars
2025*,48882.81
2024*,47302.92
2023*,45294.9
2022*,42777.2
2021*,40733.02
2020*,39047.86
2019,40255.94
2018,39150.28
2017,38398.56
2016,38772.33
2015,34568.93
2014,38156.33
2013,40490.16
2012,48632.9
2011,48168.8
2010,44673.61
2009,41014.19
2008,39453.49
2007,35342.48
2006,35463.87
2005,37223.77
2004,37696.72
2003,34831.2
2002,32300.67
2001,33850.88
2000,38535.59
1999,36039.08
1998,31915.74
1997,35034.54
1996,38450.96
1995,43441.33
1994,39219.81
1993,35698.91
1992,31429.62
1991,28923.31
1990,25379.6
1989,24830.99
1988,25065.13
1987,20755.51
1986,17118.39
1985,11580.2
