magazine,Copies sold
Sorrisi e canzoni TV,395219
Settimanale Dipiu',344420
Telesette,282140
Venerdi' di Repubblica,231936
Io Donna,223800
Gente,212774
Espresso,198720
Famiglia cristiana,198442
Oggi,188447
D La Repubblica delle Donne,171272
Dipiu' TV,166860
Settimanale Dipiu' e Dipiu' TV cucina,159430
Intimita',124350
Diva e Donna,123870
Chi,108680
Guida TV nuova,108000
Donna Moderna,105713
F,101366
Sport Week,93480
Grazia,90660
Vanity Fair,86255
Telepiu',84750
Grand Hotel,84750
Elle,74887
TV Mia,69280
Panorama,67981
Nuovo TV,67936
Settimanale Nuovo,61123
Giallo,59480
Milano Finanza,53940
Dolomiten Magazin,50602
Viversani e Belli,41944
Confidenze,40598
Tu style,38857
Starbene,34289
Ci piace cucinare!,33024
Autosprint,25685
Spy,15400
Motosprint,9543
FF- Sudtiroler Magazin,8480
