State,Percentage of population
California,26.7%
New Jersey,23.4%
New York,22.4%
Florida,21.1%
Nevada,19.8%
Hawaii,19.3%
Massachusetts,17.3%
Texas,17.1%
Maryland,15.4%
Washington,14.9%
Connecticut,14.8%
Illinois,13.9%
United States,13.7%
Rhode Island,13.7%
Arizona,13.4%
Virginia,12.7%
District of Columbia,12.1%
Georgia,10.3%
Delaware,10%
Oregon,9.7%
New Mexico,9.6%
Colorado,9.5%
Utah,8.6%
North Carolina,8.4%
Minnesota,8.4%
Alaska,8%
Nebraska,7.4%
Kansas,7.2%
Pennsylvania,7%
Michigan,7%
New Hampshire,6.4%
Oklahoma,6.1%
Idaho,5.8%
Iowa,5.6%
South Carolina,5.6%
Tennessee,5.5%
Indiana,5.3%
Arkansas,5.1%
Wisconsin,5.1%
Ohio,4.8%
Vermont,4.7%
Kentucky,4.4%
Missouri,4.3%
Louisiana,4.2%
North Dakota,4.1%
South Dakota,4.1%
Maine,3.9%
Alabama,3.6%
Wyoming,3.1%
Montana,2.3%
Mississippi,2.1%
West Virginia,1.6%
