Month,Inflation rate
;Jul '2ß,5.5%
Jun '2ß,7.2%
May '20,6.4%
Apr '20,6.6%
Mar '20,6.7%
Feb '20,6.9%
Jan '20,8%
Dec '19,7%
Nov '19,6%
Oct '19,4.7%
Sep '19,4.2%
Aug '19,5.2%
Jul '19,4.8%
Jun '19,4.6%
May '19,5.8%
Apr '19,5.8%
Mar '19,5.6%
Feb '19,5%
Jan '19,3.6%
Dec '18,2.6%
Nov '18,2.5%
Oct '18,3.3%
Sep '18,3.2%
Aug '18,2.9%
Jul '18,2.8%
Jun '18,2.7%
May '18,2.1%
Apr '18,1.2%
Mar '18,1.2%
Feb '18,1%
Jan '18,1%
Dec '17,3.8%
Nov '17,4.9%
Oct '17,4.2%
Sep '17,3.9%
Aug '17,2.7%
Jul '17,2.5%
Jun '17,4.4%
May '17,4.2%
Apr '17,5.1%
Mar '17,4.1%
Feb '17,3.7%
Jan '17,3.8%
Dec '16,1.3%
Nov '16,-0.2%
Oct '16,-0.3%
Sep '16,-0.3%
Aug '16,1.2%
Jul '16,2%
Jun '16,-0.6%
May '16,-1.8%
Apr '16,-2.8%
Mar '16,-1.4%
Feb '16,1%
Jan '16,0.5%
Dec '15,0.5%
Nov '15,0.3%
Oct '15,0.1%
Sep '15,0.8%
Aug '15,0.1%
Jul '15,-0.9%
Jun '15,0.47%
May '15,0.9%
