Month,Index number of sales per week
Nov 20,105.2
Oct 20,109.4
Sep 20,108.0
Aug 20,106.7
Jul 20,105.7
Jun 20,101.7
May 20,89.3
Apr 20,79.6
Mar 20,97.3
Feb 20,102.5
Jan 20,103.2
Dec 19,102.2
Nov 19,102.7
Oct 19,103.4
Sep 19,103.3
Aug 19,103.8
Jul 19,104.5
Jun 19,103.8
May 19,102.8
Apr 19,103.3
Mar 19,103.9
Feb 19,102.8
Jan 19,102.5
Dec 18,101.7
Nov 18,102.2
Oct 18,100.3
Sep 18,100.6
Aug 18,101.2
Jul 18,100.9
Jun 18,100.1
May 18,100.6
Apr 18,98.5
Mar 18,97.3
Feb 18,98.6
Jan 18,98.1
Dec 17,98.3
Nov 17,99.0
Oct 17,98.3
Sep 17,98.0
Aug 17,98.2
Jul 17,97.4
Jun 17,97.2
May 17,96.9
Apr 17,97.9
Mar 17,96.2
Feb 17,97.0
Jan 17,96.3
Dec 16,96.5
Nov 16,97.8
Oct 16,98.3
Sept 16,96.7
Aug 16,96.2
Jul 16,96.5
Jun 16,94.8
May 16,96.1
Apr 16,94.5
Mar 16,94.0
Feb 16,94.0
Jan 16,94.4
Dec 15,92.8
Nov 15,92.6
Oct 15,91.7
Sep 15,92.9
Aug 15,90.7
Jul 15,91.7
Jun 15,91.8
May 15,91.1
Apr 15,91.5
Mar 15,90.9
Feb 15,90.4
Jan 15,89.6
