Industry,Real value added in billion chained (2012) U.S. dollars
Manufacturing,56.01
"Finance, insurance, real estate, rental, and leasing",32.49
Government and government enterprises,24.75
"Educational services, health care, and social assistance",19.91
Professional and business services,19.63
"Mining, quarrying, and oil and gas extraction",17.22
Retail trade,15.99
Wholesale trade,11.82
Construction,9.79
"Arts, entertainment, recreation, accommodation, and food services",9.21
Transportation and warehousing,7.47
Information,5.72
Utilities,4.48
"Agriculture, forestry, fishing, and hunting",2.12
