Country,Expenditure per student in U.S. dollars
United States,"29,910$"
Switzerland,"21,648$"
Canada,"20,903$"
Sweden,"20,014$"
Norway,"18,942$"
Denmark,"17,634$"
Netherlands,"17,245$"
Ireland,"16,284$"
Finland,"15,402$"
Germany,"15,390$"
United Kingdom,"15,310$"
Australia,"15,043$"
Austria,"15,043$"
Belgium,"15,020$"
Japan,"14,890$"
France,"14,079$"
OECD average,"13,461$"
Spain,"13,366$"
Israel,"12,568$"
New Zealand,"10,526$"
Iceland,"10,429$"
Portugal,"10,373$"
Italy,"9,553$"
Slovenia,"9,263$"
Republic of Korea,"9,081$"
Czech Republic,"8,318$"
Mexico,"7,504$"
Hungary,"7,327$"
Poland,"7,063$"
Chile,"6,829$"
Slovak Republic,"6,560$"
Estonia,"5,780$"
