Year,GDP per capita in U.S. dollars
2025*,4805.84
2024*,4466.11
2023*,4151.21
2022*,3858.23
2021*,3601.87
2020*,3372.53
2019,3511.94
2018,3279.52
2017,3153.31
2016,3107.65
2015,3039.23
2014,2849.27
2013,2768.47
2012,2591.63
2011,2379.94
2010,2155.41
2009,1851.07
2008,1941.0
2007,1683.69
2006,1405.21
2005,1208.93
2004,1093.48
2003,1024.77
2002,1013.42
2001,970.38
2000,1051.97
1999,1078.0
1998,958.16
1997,1240.77
1996,1276.66
1995,1200.43
1994,1062.28
1993,922.19
1992,919.7
1991,806.94
1990,805.63
1989,794.1
1988,723.48
1987,648.26
1986,597.84
1985,627.54
