State,Unemployment rate
Alaska,6.1%
District of Columbia,5.5%
Mississippi,5.4%
West Virginia,4.9%
New Mexico,4.9%
Louisiana,4.8%
Arizona,4.7%
Pennsylvania,4.4%
Kentucky,4.3%
Washington,4.3%
Michigan,4.1%
Ohio,4.1%
California,4%
New York,4%
Illinois,4%
Nevada,3.9%
North Carolina,3.9%
Delaware,3.8%
Oregon,3.7%
Connecticut,3.7%
New Jersey,3.6%
Wyoming,3.6%
Rhode Island,3.6%
Maryland,3.6%
Arkansas,3.5%
Texas,3.5%
Montana,3.5%
Tennessee,3.4%
Georgia,3.4%
Oklahoma,3.3%
South Dakota,3.3%
Wisconsin,3.3%
Indiana,3.3%
Missouri,3.3%
Kansas,3.2%
Minnesota,3.2%
Florida,3.1%
Nebraska,3%
Maine,3%
Alabama,3%
Idaho,2.9%
Massachusetts,2.9%
Colorado,2.8%
South Carolina,2.8%
Virginia,2.8%
Hawaii,2.7%
Iowa,2.7%
Utah,2.6%
New Hampshire,2.5%
Vermont,2.4%
North Dakota,2.4%
