Year,Number of nuclear power plants
2019,443
2018,450
2017,448
2016,447
2015,441
2014,438
2013,434
2012,437
2011,435
2010,441
2009,437
2008,438
2007,439
2006,435
2005,441
2004,438
2003,437
2002,439
2001,438
2000,435
1999,432
1998,430
1997,433
1996,438
1995,434
1994,429
1993,427
1992,418
1991,415
1990,416
1989,420
1988,416
1987,407
1986,389
1985,363
1984,336
1983,306
1982,284
1981,267
1980,245
1979,225
1978,219
1977,200
1976,186
1975,169
1974,154
1973,132
1972,113
1971,99
1970,84
1969,78
1968,68
1967,64
1966,55
1965,48
1964,40
1963,33
1962,25
1961,16
1960,15
1959,11
1958,6
1957,5
1956,2
1955,1
1954,1
