Week ending,Overall number of cases
"Jan 3, 2021",26399030
"Dec 27, 2020",24852487
"Dec 20, 2020",23090136
"Dec 13, 2020",21449615
"Dec 6, 2020",19783739
"Nov 29, 2020",18134231
"Nov 22, 2020",16456357
"Nov 15, 2020",14699720
"Nov 8, 2020",12834822
"Nov 1, 2020",10792065
"Oct 25, 2020",9000456
"Oct 18, 2020",7546982
"Oct 11, 2020",6524917
"Oct 4, 2020",5792088
"Sep 27, 2020",5296135
"Sep 20, 2020",4866302
"Sep 13, 2020",4494040
"Sep 6, 2020",4186329
"Aug 30, 2020",3927459
"Aug 23, 2020",3701141
"Aug 16, 2020",3503597
"Aug 9, 2020",3324984
"Aug 2, 2020",3172906
"Jul 26, 2020",3038264
"Jul 19, 2020",2914451
"Jul 12, 2020",2801420
"Jul 5, 2020",2693061
"Jun 28, 2020",2583466
"Jun 21, 2020",2465777
"Jun 14, 2020",2343012
"Jun 7, 2020",2218607
"May 31, 2020",2098794
"May 24, 2020",1972937
"May 17, 2020",1842383
"May 10, 2020",1690110
"May 3, 2020",1514294
"Apr 26, 2020",1342103
"Apr 19, 2020",1140730
"Apr 12, 2020",918559
"Apr 5, 2020",674172
"Mar 29, 2020",418130
"Mar 22, 2020",189932
"Mar 15, 2020",60776
"Mar 8, 2020",13299
"Mar 1, 2020",2291
"Feb 23, 2020",177
"Feb 16, 2020",46
"Feb 9, 2020",41
"Feb 2, 2020",24
"Jan 26, 2020",3
