Instagram post,Number of likes in millions
@world_record_egg: Photo of an egg (Jan '19),54.5
@xxxtentacion: Final image before his death (May '18),20.6
@kyliejenner: First photo of her daughter (Feb '18),18.5
@jenniferaniston: Photo with Friends co-stars (Oct '18),16.1
@kyliejenner: Birthday post for ex-boyfriend Travis Scott (Apr '20),15.7
@tentree: Plant trees on Earth Week (Apr '19),15.6
@kingjames: Post in remembrance of Kobe Bryant (Jan '20),15.5
@kyliejenner: Photo of her daughter in a bathtub (Mar '20),15.2
@therock: Photo of his wedding (Aug '19),14.5
@selenagomez: Photos with friends (Feb '19),14.4
