Football player,Payroll in thousand U.S. dollars
Bradley Wright-Phillips,1380.0
Aaron Long,800.0
Kaku,800.0
Daniel Royer,768.75
Tim Parker,752.2
Josh Sims,710.47
Luis  Robles,490.0
Kemar  Lawrence,382.75
Marc  Rzatkowski,341.67
Sean  Davis,327.5
Mathias  Jorgensen,306.25
Amro  Tarek,156.25
Ryan  Meara,137.0
Connor  Lade,132.75
Alex  Muyl,127.75
Cristian  Casseres,118.75
Michael  Murillo,113.75
Omir  Fernandez,95.0
Jean-Christophe  Koffi,76.03
Marcus  Epps,74.54
Florian  Valot,74.51
Vincent  Bezecourt,73.3
Kyle  Duncan,70.25
Evan  Louro,70.25
Ben  Mines,63.24
Brian  White,57.23
Tom  Barlow,56.25
Rece  Buckmaster,56.25
Sean  Nealis,56.25
