city,"Murder rate per 100,000 inhabitants"
Los Cabos - Mexico,111.3
Caracas - Venezuela,111.2
Acapulco - Mexico,107.0
Natal - Brazil,102.6
Tijuana - Mexico,84.8
La Paz - Mexico,84.8
Fortaleza - Brazil,83.5
Ciudad Victoria - Mexico,83.3
Ciudad Guayana - Venezuela,80.3
Belém - Brazil,71.4
Vitória da Conquista - Brazil,70.3
Culiacán - Mexico,70.1
"St. Louis, Missouri - U.S.",65.8
Maceió - Brazil,63.9
Cape Town - South Africa,62.3
Kingston - Jamaica,59.7
San Salvador - El Salvador,59.1
Aracaju - Brazil,58.9
Feira de Santana - Brazil,58.8
Ciudad Juárez - Mexico,56.2
"Baltimore, Maryland - U.S.",55.5
Recife - Brazil,55.0
Maturín - Venezuela,54.4
Guatemala City - Guatemala,53.5
Salvador - Brazil,51.6
San Pedro Sula - Honduras,51.2
Valencia - Venezuela,49.7
Cali - Colombia,49.6
Chihuahua - Mexico,49.5
João Pessoa - Brazil,49.2
Ciudad Obregón - Mexico,49.1
San Juan - Puerto Rico,49.0
Barquisimeto - Venezuela,48.2
Manaus - Brazil,48.1
Distrito Central - Honduras,48.0
Tepic - Mexico,47.1
Palmira - Colombia,46.7
Reynosa - Mexico,42.0
Porto Alegre - Brazil,40.9
Macapá - Brazil,40.2
"New Orleans, Louisiana - U.S.",40.1
"Detroit, Michigan - U.S.",39.7
Mazatlán - Mexico,39.3
Durban - South Africa,38.1
Campos dos Goytacazes - Brazil,37.5
Nelson Mandela Bay - South Africa,37.5
Campina Grande - Mexico,37.3
Teresina - Brazil,37.1
Vitória - Brazil,36.1
Cúcuta - Colombia,34.8
