Month,Index number of sales per week
Nov 20,111.5
Oct 20,117.6
Sep 20,106.6
Aug 20,111.4
July 20,112.5
Jun 20,113.4
May 20,83.5
Apr 20,75.4
Mar 20,104.5
Feb 20,103.0
Jan 20,101.2
Dec 19,103.3
Nov 19,102.5
Oct 19,100.0
Sep 19,108.4
Aug 19,97.6
Jul 19,98.7
Jun 19,96.0
May 19,100.1
Apr 19,98.1
Mar 19,110.3
Feb 19,97.8
Jan 19,97.2
Dec 18,96.5
Nov 18,106.4
Oct 18,99.3
Sep 18,100.3
Aug 18,101.7
Jul 18,98.3
Jun 18,98.4
May 18,99.6
Apr 18,101.3
Mar 18,100.2
Feb 18,98.7
Jan 18,100.4
Dec 17,95.7
Nov 17,102.5
Oct 17,99.6
Sep 17,98.5
Aug 17,100.5
Jul 17,98.3
Jun 17,98.1
May 17,94.5
Apr 17,97.3
Mar 17,97.5
Feb 17,96.7
Jan 17,96.1
Dec 16,95.8
Nov 16,92.5
Oct 16,92.6
Sep 16,93.4
Aug 16,88.6
Jul 16,93.0
Jun 16,93.1
May 16,96.5
Apr 16,82.4
Mar 16,88.4
Feb 16,90.2
Jan 16,91.7
