Response,Percentage of budget invested in IT
"Nicklaus Children's Health System (Miami, FL)",10.61%
"Baptist Health South Florida (Coral Gables, FL)",9%
"Sheridan Memorial Hospital (Sheridan, WY)",8.38%
"Atrium Health (Charlotte, NC)",5.71%
"UCLA Health (Los Angeles, CA)",5.35%
"Lehigh Valley Hospital (Allentown, PA)",4.4%
"Henry Ford Health System (Detroit, MI)",4.27%
"Ceders-Sinai Health System (Los Angeles, CA)",3.3%
"Avera Health (Sioux Falls, SD)",3.3%
"Altru Health System (Grand Forks, ND)",3.2%
