Year,GDP per capita in U.S. dollars
2025*,17947.19
2024*,17111.94
2023*,16241.74
2022*,15282.56
2021*,14208.69
2020*,12612.32
2019,14772.11
2018,15903.01
2017,15037.65
2016,13781.4
2015,13571.92
2014,14643.86
2013,15804.36
2012,15307.77
2011,14610.75
2010,12793.55
2009,10219.73
2008,10749.24
2007,10507.89
2006,9473.01
2005,7600.08
2004,6192.91
2003,4770.31
2002,4443.66
2001,4572.85
2000,5071.56
1999,4952.69
1998,5446.61
1997,5743.65
1996,5349.61
1995,5117.72
1994,4030.08
1993,3547.03
1992,3368.29
1991,2829.75
1990,2503.88
1989,2289.46
1988,2021.06
1987,1743.89
1986,1504.44
1985,1424.37
