Month,"Number of unemployed people (in 1,000s)"
Oct 20,1692
Sep 20,1624
Aug 20,1522
Jul 20,1451
Jun 20,1381
May 20,1384
Apr 20,1367
Mar 20,1365
Feb 20,1364
Jan 20,1343
Dec 19,1290
Nov 19,1306
Oct 19,1281
Sep 19,1306
Aug 19,1314
Jul 19,1294
Jun 19,1329
May 19,1292
Apr 19,1304
Mar 19,1298
Feb 19,1343
Jan 19,1338
Dec 18,1363
Nov 18,1370
Oct 18,1373
Sep 18,1377
Aug 18,1363
Jul 18,1358
Jun 18,1362
May 18,1408
Apr 18,1416
Mar 18,1417
Feb 18,1419
Jan 18,1451
Dec 17,1463
Nov 17,1437
Oct 17,1422
Sep 17,1429
Aug 17,1452
Jul 17,1457
Jun 17,1485
May 17,1489
Apr 17,1520
Mar 17,1527
Feb 17,1550
Jan 17,1573
Dec 16,1585
Nov 16,1602
Oct 16,1613
Sep 16,1618
Aug 16,1668
Jul 16,1635
Jun 16,1643
May 16,1648
Apr 16,1666
Mar 16,1687
Feb 16,1700
Jan 16,1684
Dec 15,1688
Nov 15,1687
Oct 15,1715
Sep 15,1760
Aug 15,1779
Jul 15,1822
Jun 15,1849
May 15,1848
Apr 15,1813
Mar 15,1826
Feb 15,1840
Jan 15,1858
Dec 14,1870
Nov 14,1924
Oct 14,1953
Sep 14,1961
Aug 14,1972
Jul 14,2010
Jun 14,2061
May 14,2112
Apr 14,2161
Mar 14,2212
Feb 14,2256
Jan 14,2340
Dec 13,2357
Nov 13,2340
Oct 13,2404
Sep 13,2483
Aug 13,2504
Jul 13,2492
Jun 13,2515
May 13,2511
Apr 13,2525
Mar 13,2540
Feb 13,2584
Jan 13,2537
Dec 12,2535
Nov 12,2532
Oct 12,2534
Sep 12,2539
Aug 12,2551
Jul 12,2600
Jun 12,2577
May 12,2599
Apr 12,2625
Mar 12,2635
Feb 12,2655
Jan 12,2674
Dec 11,2689
Nov 11,2713
Oct 11,2677
Sep 11,2662
Aug 11,2611
Jul 11,2556
Jun 11,2540
May 11,2500
Apr 11,2462
Mar 11,2483
Feb 11,2492
Jan 11,2524
Dec 10,2503
Nov 10,2502
Oct 10,2513
Sep 10,2470
Aug 10,2476
Jul 10,2488
Jun 10,2488
May 10,2508
Apr 10,2510
Mar 10,2526
Feb 10,2496
Jan 10,2434
Dec 09,2453
Nov 09,2455
Oct 09,2484
Sep 09,2475
Aug 09,2484
Jul 09,2478
Jun 09,2448
May 09,2395
Apr 09,2296
Mar 09,2235
Feb 09,2128
Jan 09,2057
Dec 08,2003
Nov 08,1941
Oct 08,1875
Sep 08,1840
Aug 08,1793
Jul 08,1724
Jun 08,1680
May 08,1625
Apr 08,1667
Mar 08,1622
Feb 08,1622
Jan 08,1617
Dec 07,1608
Nov 07,1633
Oct 07,1629
Sep 07,1650
Aug 07,1645
Jul 07,1645
Jun 07,1658
May 07,1670
Apr 07,1692
Mar 07,1704
Feb 07,1708
Jan 07,1703
Dec 06,1701
Nov 06,1674
Oct 06,1691
Sep 06,1693
Aug 06,1690
Jul 06,1698
Jun 06,1685
May 06,1664
Apr 06,1633
Mar 06,1604
Feb 06,1584
Jan 06,1551
Dec 05,1567
Nov 05,1538
Oct 05,1500
Sep 05,1437
Aug 05,1420
Jul 05,1424
Jun 05,1437
May 05,1436
Apr 05,1420
Mar 05,1416
Feb 05,1447
Jan 05,1425
Dec 04,1423
Nov 04,1407
Oct 04,1397
Sep 04,1401
Aug 04,1405
Jul 04,1423
Jun 04,1437
May 04,1435
Apr 04,1437
Mar 04,1434
Feb 04,1436
Jan 04,1442
Dec 03,1457
Nov 03,1461
Oct 03,1473
Sep 03,1502
Aug 03,1504
Jul 03,1506
Jun 03,1467
May 03,1486
Apr 03,1517
Mar 03,1531
Feb 03,1517
Jan 03,1480
Dec 02,1516
Nov 02,1532
Oct 02,1546
Sep 02,1566
Aug 02,1539
Jul 02,1527
Jun 02,1520
May 02,1542
Apr 02,1522
Mar 02,1515
Feb 02,1508
Jan 02,1518
Dec 01,1520
Nov 01,1495
Oct 01,1487
Sep 01,1487
Aug 01,1483
Jul 01,1472
Jun 01,1468
May 01,1431
Apr 01,1459
Mar 01,1481
Feb 01,1516
Jan 01,1504
Dec 00,1520
Nov 00,1540
Oct 00,1571
Sep 00,1548
Aug 00,1529
Jul 00,1551
Jun 00,1599
May 00,1640
Apr 00,1655
Mar 00,1682
Feb 00,1685
Jan 00,1702
Dec 99,1684
Nov 99,1693
Oct 99,1687
Sep 99,1702
Aug 99,1705
Jul 99,1723
Jun 99,1743
May 99,1760
Apr 99,1773
Mar 99,1780
Feb 99,1794
Jan 99,1790
Dec 98,1764
Nov 98,1768
Oct 98,1782
Sep 98,1786
Aug 98,1807
Jul 98,1800
Jun 98,1791
May 98,1787
Apr 98,1799
Mar 98,1813
Feb 98,1816
Jan 98,1821
Dec 97,1864
Nov 97,1887
Oct 97,1909
Sep 97,1951
Aug 97,2022
Jul 97,2083
Jun 97,2051
May 97,2047
Apr 97,2052
Mar 97,2085
Feb 97,2131
Jan 97,2181
Dec 96,2229
Nov 96,2262
Oct 96,2287
Sep 96,2285
Aug 96,2285
Jul 96,2314
Jun 96,2340
May 96,2347
Apr 96,2350
Mar 96,2330
Feb 96,2357
Jan 96,2377
Dec 95,2353
Nov 95,2421
Oct 95,2438
Sep 95,2447
Aug 95,2439
Jul 95,2448
Jun 95,2445
May 95,2473
Apr 95,2490
Mar 95,2497
Feb 95,2496
Jan 95,2497
Dec 94,2521
Nov 94,2556
Oct 94,2608
Sep 94,2639
Aug 94,2691
Jul 94,2705
Jun 94,2736
May 94,2750
Apr 94,2769
Mar 94,2806
Feb 94,2845
Jan 94,2892
Dec 93,2892
Nov 93,2885
Oct 93,2892
Sep 93,2890
Aug 93,2906
Jul 93,2927
Jun 93,2931
May 93,2952
Apr 93,2988
Mar 93,3004
Feb 93,3023
Jan 93,2983
Dec 92,2932
Nov 92,2899
Oct 92,2850
Sep 92,2815
Aug 92,2816
Jul 92,2803
Jun 92,2777
May 92,2796
Apr 92,2782
Mar 92,2762
Feb 92,2735
Jan 92,2714
Dec 91,2697
Nov 91,2675
Oct 91,2652
Sep 91,2624
Aug 91,2585
Jul 91,2540
Jun 91,2492
May 91,2442
Apr 91,2378
Mar 91,2306
Feb 91,2244
Jan 91,2196
Dec 90,2158
Nov 90,2115
Oct 90,2079
Sep 90,2049
Aug 90,2024
Jul 90,2009
Jun 90,2002
May 90,2004
Apr 90,2004
Mar 90,2004
Feb 90,2006
Jan 90,2012
Dec 89,2021
Nov 89,2027
Oct 89,2034
Sep 89,2045
Aug 89,2057
Jul 89,2071
Jun 89,2083
May 89,2106
Apr 89,2140
Mar 89,2179
Feb 89,2213
Jan 89,2253
Dec 88,2293
Nov 88,2333
Oct 88,2361
Sep 88,2385
Aug 88,2416
Jul 88,2452
Jun 88,2490
May 88,2526
Apr 88,2569
Mar 88,2613
Feb 88,2657
Jan 88,2697
Dec 87,2741
Nov 87,2788
Oct 87,2838
Sep 87,2885
Aug 87,2929
Jul 87,2973
Jun 87,3021
May 87,3061
Apr 87,3090
Mar 87,3113
Feb 87,3134
Jan 87,3150
Dec 86,3156
Nov 86,3165
Oct 86,3171
Sep 86,3177
Aug 86,3175
Jul 86,3168
Jun 86,3159
May 86,3154
Apr 86,3151
Mar 86,3150
Feb 86,3143
Jan 86,3138
Dec 85,3135
Nov 85,3133
Oct 85,3135
Sep 85,3137
Aug 85,3139
Jul 85,3145
Jun 85,3152
May 85,3156
Apr 85,3169
Mar 85,3180
Feb 85,3195
Jan 85,3206
Dec 84,3217
Nov 84,3229
Oct 84,3233
Sep 84,3238
Aug 84,3242
Jul 84,3256
Jun 84,3265
May 84,3278
Apr 84,3263
Mar 84,3243
Feb 84,3215
Jan 84,3189
Dec 83,3167
Nov 83,3146
Oct 83,3125
Sep 83,3109
Aug 83,3093
Jul 83,3074
Jun 83,3049
May 83,3023
Apr 83,3008
Mar 83,2998
Feb 83,2988
Jan 83,2976
Dec 82,2960
Nov 82,2938
Oct 82,2917
Sep 82,2897
Aug 82,2877
Jul 82,2857
Jun 82,2841
May 82,2824
Apr 82,2813
Mar 82,2803
Feb 82,2792
Jan 82,2780
Dec 81,2761
Nov 81,2740
Oct 81,2713
Sep 81,2684
Aug 81,2654
Jul 81,2624
Jun 81,2588
May 81,2544
Apr 81,2476
Mar 81,2403
Feb 81,2330
Jan 81,2255
Dec 80,2169
Nov 80,2077
Oct 80,1989
Sep 80,1905
Aug 80,1828
Jul 80,1756
Jun 80,1700
May 80,1648
Apr 80,1603
Mar 80,1558
Feb 80,1521
Jan 80,1490
Dec 79,1471
Nov 79,1453
Oct 79,1441
Sep 79,1430
Aug 79,1422
Jul 79,1415
Jun 79,1405
May 79,1405
Apr 79,1414
Mar 79,1420
Feb 79,1417
Jan 79,1413
Dec 78,1421
