Year,Number of employees
1/11/2021,13031
1/9/2021,12963
1/6/2021,12692
1/4/2021,12400
1/1/2021,12101
12/29/2020,11970
12/26/2020,11907
12/23/2020,11818
12/20/2020,11688
12/17/2020,11561
12/14/2020,11438
12/11/2020,11315
12/8/2020,10951
12/5/2020,10654
12/2/2020,10181
11/29/2020,9755
11/26/2020,9143
11/23/2020,8650
11/20/2020,8479
11/17/2020,8323
11/15/2020,8227
11/12/2020,8083
11/9/2020,7594
11/6/2020,7450
11/3/2020,7278
10/31/2020,7031
10/28/2020,6721
10/25/2020,6603
10/22/2020,6490
10/18/2020,6320
10/14/2020,6199
10/10/2020,6082
10/6/2020,5752
10/2/2020,5632
9/28/2020,5433
9/24/2020,5410
9/17/2020,5291
9/12/2020,5220
9/8/2020,5176
9/4/2020,5152
9/1/2020,5073
8/28/2020,5024
8/24/2020,4977
8/20/2020,4904
8/16/2020,4827
8/12/2020,4729
8/8/2020,4345
8/4/2020,4194
7/31/2020,4077
7/27/2020,3921
7/23/2020,3710
7/19/2020,3566
7/15/2020,3432
7/11/2020,3360
7/7/2020,3271
7/3/2020,3199
6/29/2020,3132
6/25/2020,3118
6/21/2020,3077
6/17/2020,3017
6/14/2020,2972
6/10/2020,2925
6/6/2020,2909
6/2/2020,2886
5/29/2020,2864
5/25/2020,2843
5/21/2020,2776
5/17/2020,2549
