Response,Share of respondents
Sexual violence,39%
Physical violence,34%
Sexual harassment,28%
Domestic abuse,19%
Equal pay,17%
Sexualization of women and girls in the media,13%
Access to employment,10%
Lack of financial/economic independence,8%
Lack of women in leadership roles in business and public life,8%
"The amount of unpaid work that women do (e.g. cooking, cleaning, childcare)",7%
Gender stereotyping,7%
Abuse on Social Media,7%
Workplace discrimination,6%
Balancing work and caring responsibilities,5%
Support for pregnant women and new mothers,2%
