Fastest growing companies,Revenue compound annual growth rate (CAGR)
HTK Lentes Oftálmicas (Haytek Lentes),90.4%
Valemobi Consultoria Empresarial,75.5%
Omega Geração,73%
CCM Indústria e Comércio de Produtos Descartáveis,59.9%
J.A. Saúde Animal Indústria e Comércio de Produtos Veterinários,43.4%
PRAVALER,39.2%
BrD Brasil Distressed Consultoria Empresarial,39%
Daitan Labs Soluções em Tecnologia,38.8%
Previmil Vida e Previdência,38%
Ventisol Indústria e Comércio,35.9%
Aquiris Game Studio,34.8%
Buysoft do Brasil,34.2%
DB1 Global Software,33.4%
America Holding Participações,31.3%
Metalúrgica Hassmann,28.9%
