State,Tuition and fees in U.S. dollars
District of Columbia,42004
Massachusetts,35106
Rhode Island,31253
Connecticut,29567
Vermont,28324
New Hampshire,27613
Pennsylvania,27213
New York,26276
Illinois,25918
Maine,23279
Minnesota,21837
New Jersey,21772
Oregon,19609
Maryland,19368
Iowa,18940
Virginia,17468
Ohio,17350
Tennessee,16963
Indiana,16720
Missouri,16614
North Carolina,16168
South Carolina,16130
California,15864
Michigan,15466
Kentucky,14952
Wisconsin,14661
Nebraska,14659
Louisiana,14299
Texas,13753
Colorado,13728
Washington,13459
Kansas,12697
South Dakota,12290
Arizona,12074
Oklahoma,11923
Alabama,11915
Georgia,11802
Hawaii,11612
Delaware,11478
Arkansas,10978
West Virginia,10448
Florida,10212
Mississippi,9367
Montana,9058
North Dakota,8691
Utah,7857
New Mexico,7348
Idaho,7204
Alaska,6763
Nevada,6594
Wyoming,5217
