Response,Share of respondents*
Technology makes getting in touch with family members easier,80%
Communication technology enables constant dialogue wth family and friends,70%
Technology devices make one feel more connected,66%
Technology makes it easier to arrange meetings with family members,64%
Mobile technology enhances interactions with immediate family,61%
Internet encourages contact with family or friends,57%
Social networks are a great way to feel close to family and friends,55%
Technology has little impact on one's frequency of communication with friends or family,54%
Uncomfortable with finding out about life of family members via social network,47%
Social media helps understanding family members better,33%
Uncomfortable knowing family members can monitor one's activity on social media,33%
Technology has led to less face-to-face interactions among families,31%
Playing online games with family members helps connect with them,28%
Uncomfortable with family members being able to get in touch at any time,24%
