Year,Gross domestic product in billion U.S. dollars
2025*,2.04€
2024*,1.93€
2023*,1.82€
2022*,1.65€
2021*,1.47€
2020*,1.39€
2019,1.66€
2018,1.61€
2017,1.47€
2016,1.44€
2015,1.34€
2014,1.25€
2013,1.18€
2012,1.2€
2011,1.14€
2010,1.15€
2009,1.22€
2008,1.37€
2007,1.31€
2006,1.16€
2005,1.02€
2004,0.92€
2003,0.86€
2002,0.82€
2001,0.8€
2000,0.83€
1999,0.77€
1998,0.73€
1997,0.68€
1996,0.63€
1995,0.58€
1994,0.59€
1993,0.54€
1992,0.5€
1991,0.48€
1990,0.46€
1989,0.44€
1988,0.4€
1987,0.34€
1986,0.29€
1985,0.24€
